tenor,regime,n,mean_raw,median_raw,mean_abs_raw,median_abs_raw,p5,p95,buggy_mean_abs_bps,fixed_mean_abs_bps,error_factor
2Y,pre,314,25.404390481245578,24.26800000000003,25.633298478414723,24.26800000000003,9.58383333333334,43.01139444444441,2563.329847841472,25.633298478414723,100.0
5Y,pre,314,26.296348195329088,26.269444444444403,26.367951875442323,26.269444444444403,6.644555555555529,43.77473333333333,2636.7951875442322,26.367951875442323,100.0
10Y,pre,314,21.53668506723284,23.370944444444433,24.701731068648268,24.47472222222224,-6.943472222222226,44.011227777777755,2470.173106864827,24.701731068648268,100.0
20Y,pre,314,5.524702937013446,10.194944444444417,16.61870895258315,11.709000000000003,-47.380827777777775,27.54534999999999,1661.8708952583152,16.61870895258315,100.0
30Y,pre,314,-7.108285562632695,0.69594444444445,18.979616772823782,9.504222222222225,-40.08655555555555,25.192777777777756,1897.961677282378,18.979616772823782,100.0
2Y,relief,251,5.787699867197876,5.9962222222222215,7.556239043824701,7.091666666666668,-9.449,16.110500000000002,755.6239043824701,7.556239043824701,100.0
5Y,relief,251,6.253444444444446,6.504888888888891,7.6784200973882255,6.992555555555555,-5.933,17.793333333333333,767.8420097388225,7.6784200973882255,100.0
10Y,relief,251,5.390431606905711,6.097,8.174581230633025,6.808666666666667,-7.676944444444444,16.039166666666667,817.4581230633025,8.174581230633025,100.0
20Y,relief,251,-20.751580345285525,-20.12833333333333,21.361795042054005,20.12833333333333,-36.627,-0.9388888888888897,2136.1795042054005,21.361795042054005,100.0
30Y,relief,251,-37.45228154050465,-28.388666666666666,37.56079150066401,28.388666666666666,-67.33349999999999,-4.114222222222222,3756.079150066401,37.56079150066401,100.0
2Y,post,192,-9.987076967592593,-8.045,12.564642939814815,8.045,-27.390916666666666,3.181827777777766,1256.4642939814814,12.564642939814815,100.0
5Y,post,192,-5.499566550925926,-5.272555555555554,5.78954224537037,5.272555555555554,-12.764,0.36631666666666635,578.954224537037,5.78954224537037,100.0
10Y,post,192,-10.058698784722223,-8.919944444444447,10.167705729166668,8.919944444444447,-20.106225000000002,-2.7849277777777783,1016.7705729166668,10.167705729166668,100.0
20Y,post,192,-17.095022569444442,-17.527444444444445,17.51485590277778,17.527444444444445,-29.906941666666665,-4.1428888888888915,1751.4855902777779,17.51485590277778,100.0
30Y,post,192,-51.27591059027778,-49.87405555555556,51.27591059027778,49.87405555555556,-70.10266666666668,-31.99811111111111,5127.591059027778,51.27591059027778,100.0
