series_id,col,p1_bound,p99_bound,n_clipped_lo,n_clipped_hi,n_total,pct_clipped
cip_aud,y_bps,-44.42,23.5594,40,40,3913,2.04
cip_aud,y_abs_bps,0.2453,44.5957,40,40,3913,2.04
cip_cad,y_bps,-2.6968,45.1388,40,40,3912,2.04
cip_cad,y_abs_bps,0.2429,45.1388,40,40,3912,2.04
cip_chf,y_bps,-3.9884,103.7229,40,40,3911,2.05
cip_chf,y_abs_bps,0.9125,103.7229,40,40,3911,2.05
cip_eur,y_bps,-432.4106,89.3182,40,40,3912,2.04
cip_eur,y_abs_bps,1.5808,432.4106,40,40,3912,2.04
cip_gbp,y_bps,-3.8622,55.5044,40,40,3912,2.04
cip_gbp,y_abs_bps,0.8059,55.5044,40,40,3912,2.04
cip_jpy,y_bps,12.6651,110.431,40,40,3910,2.05
cip_jpy,y_abs_bps,12.6651,110.431,40,40,3910,2.05
cip_nzd,y_bps,-29.1104,38.7274,40,40,3912,2.04
cip_nzd,y_abs_bps,0.5179,41.2197,40,40,3912,2.04
cip_sek,y_bps,-6.2674,92.0193,40,40,3912,2.04
cip_sek,y_abs_bps,1.1116,92.0193,40,40,3912,2.04
eq_indu,y_bps,-69.5732,120.6479,38,38,3737,2.03
eq_indu,y_abs_bps,3.0711,126.5085,38,38,3737,2.03
eq_ndx,y_bps,-11.5936,109.2058,38,38,3733,2.04
eq_ndx,y_abs_bps,1.8826,109.2058,38,38,3733,2.04
eq_spx,y_bps,-26.8061,111.4363,38,38,3734,2.04
eq_spx,y_abs_bps,3.5302,111.4363,38,38,3734,2.04
tips_treas_10y,y_bps,1.1393,38.3783,38,38,3752,2.03
tips_treas_10y,y_abs_bps,1.6605,38.3783,38,38,3752,2.03
tips_treas_2y,y_bps,-17.7033,42.0455,38,38,3717,2.04
tips_treas_2y,y_abs_bps,0.4539,42.0455,38,38,3717,2.04
tips_treas_5y,y_bps,-0.3772,38.4475,38,38,3752,2.03
tips_treas_5y,y_abs_bps,0.7744,38.4475,38,38,3752,2.03
ust_sf_10y,y_bps,-39.1339,227.3254,50,50,4967,2.01
ust_sf_10y,y_abs_bps,0.511,227.3254,50,50,4967,2.01
ust_sf_2y,y_bps,-37.9655,178.0881,50,50,4967,2.01
ust_sf_2y,y_abs_bps,0.4214,178.0881,50,50,4967,2.01
ust_sf_5y,y_bps,-39.8554,179.1937,50,50,4967,2.01
ust_sf_5y,y_abs_bps,0.2727,179.1937,50,50,4967,2.01
