series_id,strategy,treasury_based,event,window,spec,n,coef_post,se_post,t_post,ci_low,ci_high
cip_aud,cip,0,2020-04-01,20,TOTAL,41,-5.755763943350145,2.3801701803962785,-2.4182152985346024,-10.42089749692685,-1.0906303897734393
cip_cad,cip,0,2020-04-01,20,TOTAL,41,8.74713978774808,1.914307024167529,4.569350515522416,4.995098020379723,12.499181555116438
cip_chf,cip,0,2020-04-01,20,TOTAL,41,-23.191545369298147,4.525625942694757,-5.1244945258310235,-32.06177221697987,-14.321318521616424
cip_eur,cip,0,2020-04-01,20,TOTAL,41,-19.637221444877326,4.6448715490711745,-4.2277210978641895,-28.741169681056828,-10.533273208697825
cip_gbp,cip,0,2020-04-01,20,TOTAL,41,-10.14586040939875,1.241386599756708,-8.17300622657533,-12.578978144921898,-7.712742673875603
cip_jpy,cip,0,2020-04-01,20,TOTAL,41,-3.3134942878653995,5.080802756995721,-0.652159598855333,-13.271867691577011,6.644879115846212
cip_nzd,cip,0,2020-04-01,20,TOTAL,41,-7.861796967470445,5.223501862094048,-1.5050816817970332,-18.09986061717478,2.37626668223389
cip_sek,cip,0,2020-04-01,20,TOTAL,41,-20.36310459848232,4.484705719885181,-4.540566509903277,-29.153127809457274,-11.573081387507365
eq_indu,eq_spot_fut,0,2020-04-01,20,TOTAL,41,30.426116570833553,13.436488964711714,2.264439516211545,4.090598199998595,56.76163494166851
eq_ndx,eq_spot_fut,0,2020-04-01,20,TOTAL,41,-3.4382524962358936,7.235704767081679,-0.4751786601186352,-17.620233839715986,10.743728847244197
eq_spx,eq_spot_fut,0,2020-04-01,20,TOTAL,41,18.341639815222862,8.911772938124553,2.0581358998451758,0.8745648564987398,35.80871477394699
tips_treas_10y,tips_treas,1,2020-04-01,20,TOTAL,41,0.39217559131445867,2.6177433871113296,0.14981437571206055,-4.738601447423747,5.522952630052664
tips_treas_2y,tips_treas,1,2020-04-01,20,TOTAL,41,3.54405087370818,3.459918375789863,1.024316324485288,-3.237389142839951,10.325490890256312
tips_treas_5y,tips_treas,1,2020-04-01,20,TOTAL,41,0.8420503187337276,2.1101197425208715,0.3990533341618639,-3.2937843766071806,4.977885014074636
ust_sf_10y,ust_spot_fut,1,2020-04-01,20,TOTAL,41,-4.266625778992817,5.8118401668113355,-0.7341264825824865,-15.657832505943034,7.1245809479574005
ust_sf_2y,ust_spot_fut,1,2020-04-01,20,TOTAL,41,-3.67902557216323,7.0653255837447855,-0.5207156455220655,-17.52706371630301,10.16901257197655
ust_sf_5y,ust_spot_fut,1,2020-04-01,20,TOTAL,41,0.7799589190503324,7.7800740284137175,0.10025083517224045,-14.468986176640552,16.02890401474122
cip_aud,cip,0,2020-04-01,20,DIRECT,41,-5.83059063762861,4.535900776718028,-1.2854316980556528,-14.720956159995946,3.059774884738726
cip_cad,cip,0,2020-04-01,20,DIRECT,41,12.891327564582255,2.8836972314288682,4.470416458455529,7.2392809909816735,18.543374138182838
cip_chf,cip,0,2020-04-01,20,DIRECT,41,-34.320027015864085,4.851959671125874,-7.073436166442885,-43.8298679712708,-24.810186060457372
cip_eur,cip,0,2020-04-01,20,DIRECT,41,-44.005067745918126,9.529196479541689,-4.61792007756299,-62.68229284581983,-25.327842646016418
cip_gbp,cip,0,2020-04-01,20,DIRECT,41,-16.052371944338553,3.7413700036538793,-4.2905063997042685,-23.385457151500155,-8.719286737176951
cip_jpy,cip,0,2020-04-01,20,DIRECT,41,-4.964380955803065,6.727333710615556,-0.7379418309469921,-18.149955028609554,8.221193117003425
cip_nzd,cip,0,2020-04-01,20,DIRECT,41,-4.428990464927834,9.182692923456964,-0.48231934813088284,-22.42706859490348,13.569087665047816
cip_sek,cip,0,2020-04-01,20,DIRECT,41,-40.3481800932167,6.56910594919137,-6.142111332240484,-53.22362775363178,-27.472732432801614
eq_indu,eq_spot_fut,0,2020-04-01,20,DIRECT,41,39.33317299934485,21.25825535978416,1.850254046423507,-2.3330075058321,80.9993535045218
eq_ndx,eq_spot_fut,0,2020-04-01,20,DIRECT,41,5.982358260101233,19.4050808715655,0.30828824160517954,-32.05160024816715,44.016316768369606
eq_spx,eq_spot_fut,0,2020-04-01,20,DIRECT,41,19.6379541039885,19.273549293373527,1.018906990355962,-18.138202511023614,57.41411071900061
tips_treas_10y,tips_treas,1,2020-04-01,20,DIRECT,41,-6.53946319989209,3.980933359459684,-1.642695973383404,-14.342092584433072,1.2631661846488909
tips_treas_2y,tips_treas,1,2020-04-01,20,DIRECT,41,4.341451821932212,3.6449251910617684,1.1910949043833587,-2.802601552548854,11.485505196413278
tips_treas_5y,tips_treas,1,2020-04-01,20,DIRECT,41,2.27231787717506,2.959701110063713,0.76775248333307,-3.528696298549818,8.073332052899937
ust_sf_10y,ust_spot_fut,1,2020-04-01,20,DIRECT,41,7.1744690844342305,7.59775174706671,0.9442884320620375,-7.717124339816522,22.066062508684983
ust_sf_2y,ust_spot_fut,1,2020-04-01,20,DIRECT,41,26.605567777219846,7.40176644897852,3.5944889589013638,12.098105537221947,41.113030017217746
ust_sf_5y,ust_spot_fut,1,2020-04-01,20,DIRECT,41,30.253799692257914,8.174688808749515,3.7009114842239295,14.231409627108864,46.27618975740697
cip_aud,cip,0,2020-04-01,60,TOTAL,121,-6.157272523706309,1.6845495573090765,-3.6551447815771145,-9.458989656032099,-2.8555553913805194
cip_cad,cip,0,2020-04-01,60,TOTAL,121,-1.3186295708703732,3.0984845967234778,-0.4255724144198654,-7.39165938044839,4.7544002387076425
cip_chf,cip,0,2020-04-01,60,TOTAL,121,-24.17809830484055,2.389710526382764,-10.11758455173156,-28.861930936550767,-19.494265673130332
cip_eur,cip,0,2020-04-01,60,TOTAL,121,-27.6249797966407,2.705558785801641,-10.210452621326276,-32.92787501681192,-22.322084576469486
cip_gbp,cip,0,2020-04-01,60,TOTAL,121,-11.661196814479037,1.1149221106593756,-10.459203116514116,-13.846444151371413,-9.475949477586662
cip_jpy,cip,0,2020-04-01,60,TOTAL,121,-17.80175711453793,4.339165101390061,-4.102576578345705,-26.30652071326245,-9.296993515813412
cip_nzd,cip,0,2020-04-01,60,TOTAL,121,-12.110693357576174,3.08877694518329,-3.920870160748211,-18.16469617013542,-6.056690545016926
cip_sek,cip,0,2020-04-01,60,TOTAL,121,-11.796648079190234,3.094985297481693,-3.811536064093375,-17.86281926225435,-5.730476896126116
eq_indu,eq_spot_fut,0,2020-04-01,60,TOTAL,121,-14.329210900793099,11.74700784454495,-1.2198179392080057,-37.3533462761012,8.694924474515004
eq_ndx,eq_spot_fut,0,2020-04-01,60,TOTAL,121,-23.69099317594031,8.628769059021852,-2.7455820191606675,-40.603380531623145,-6.778605820257479
eq_spx,eq_spot_fut,0,2020-04-01,60,TOTAL,121,-14.05678439225027,8.073697840849796,-1.7410590127770653,-29.881232160315868,1.7676633758153297
tips_treas_10y,tips_treas,1,2020-04-01,60,TOTAL,121,3.7200050730828367,1.141189650729662,3.259760610959198,1.4832733576526995,5.956736788512973
tips_treas_2y,tips_treas,1,2020-04-01,60,TOTAL,121,5.468959735791077,3.188072535201095,1.7154439478417043,-0.779662433203069,11.717581904785224
tips_treas_5y,tips_treas,1,2020-04-01,60,TOTAL,121,4.733998994505473,1.630710095196663,2.903029182470692,1.5378072079200136,7.930190781090933
ust_sf_10y,ust_spot_fut,1,2020-04-01,60,TOTAL,121,-6.349516992933146,3.4928958705796185,-1.8178374701675528,-13.195592899269197,0.4965589134029065
ust_sf_2y,ust_spot_fut,1,2020-04-01,60,TOTAL,121,-2.520689213259856,4.2278804642774,-0.5962063579038946,-10.807334923243559,5.765956496723848
ust_sf_5y,ust_spot_fut,1,2020-04-01,60,TOTAL,121,3.5458317264204418,5.79596157299479,0.6117762655538622,-7.814252956649348,14.905916409490231
cip_aud,cip,0,2020-04-01,60,DIRECT,121,-3.0354568300449154,3.580181902454494,-0.8478498894047459,-10.052613358855723,3.981699698765892
cip_cad,cip,0,2020-04-01,60,DIRECT,121,7.449518934263263,4.852919522173071,1.535059236038489,-2.062203329195957,16.961241197722483
cip_chf,cip,0,2020-04-01,60,DIRECT,121,-30.917154981428943,4.859308953778575,-6.362459204695745,-40.44140053083495,-21.39290943202294
cip_eur,cip,0,2020-04-01,60,DIRECT,121,-40.41429941990495,7.593204899434344,-5.3224297190920815,-55.29698102279626,-25.531617817013636
cip_gbp,cip,0,2020-04-01,60,DIRECT,121,-13.698354679873072,2.7092546852303805,-5.056133981995213,-19.008493862924617,-8.388215496821527
cip_jpy,cip,0,2020-04-01,60,DIRECT,121,-3.4851568555023142,8.399027501707133,-0.414947665642712,-19.947250758848295,12.976937047843666
cip_nzd,cip,0,2020-04-01,60,DIRECT,121,-7.6717203473491535,6.207520136115391,-1.235875225392349,-19.83845981413532,4.4950191194370115
cip_sek,cip,0,2020-04-01,60,DIRECT,121,-28.321462248215184,4.025664183151238,-7.035227222069355,-36.21176404719161,-20.431160449238757
eq_indu,eq_spot_fut,0,2020-04-01,60,DIRECT,121,7.396272959688009,18.591303363128212,0.39783509607814266,-29.042681632043287,43.83522755141931
eq_ndx,eq_spot_fut,0,2020-04-01,60,DIRECT,121,-2.777775947340116,17.45656950891976,-0.15912496128868614,-36.992652184822845,31.43710029014261
eq_spx,eq_spot_fut,0,2020-04-01,60,DIRECT,121,-1.719783286956389,15.172206643070115,-0.11335090059176708,-31.457308307373815,28.017741733461037
tips_treas_10y,tips_treas,1,2020-04-01,60,DIRECT,121,-0.8411007916686577,1.801227138278409,-0.4669598707426602,-4.371505982694339,2.689304399357024
tips_treas_2y,tips_treas,1,2020-04-01,60,DIRECT,121,0.39684021632192845,3.8951371730093154,0.10188093479011846,-7.23762864277633,8.031309075420186
tips_treas_5y,tips_treas,1,2020-04-01,60,DIRECT,121,-0.253999115897533,2.272656649742681,-0.11176308393363853,-4.708406149393188,4.200407917598122
ust_sf_10y,ust_spot_fut,1,2020-04-01,60,DIRECT,121,7.8015043845273775,6.251941606681574,1.247853047154144,-4.4523011645685076,20.055309933623263
ust_sf_2y,ust_spot_fut,1,2020-04-01,60,DIRECT,121,10.119762181868222,13.061460553002595,0.7747802889885749,-15.480700502016866,35.72022486575331
ust_sf_5y,ust_spot_fut,1,2020-04-01,60,DIRECT,121,17.381449731036554,12.816011671567992,1.3562292370251874,-7.73793314523671,42.50083260730982
cip_aud,cip,0,2021-03-31,20,TOTAL,41,1.6902420568155399,1.3245629564179173,1.2760752885514381,-0.9059013377635781,4.286385451394658
cip_cad,cip,0,2021-03-31,20,TOTAL,41,0.04046882946777153,1.3404431932717882,0.03019063371793785,-2.5867998293449332,2.6677374882804763
cip_chf,cip,0,2021-03-31,20,TOTAL,41,-2.727066856007215,1.2163352240577714,-2.242035585313025,-5.111083895160447,-0.3430498168539833
cip_eur,cip,0,2021-03-31,20,TOTAL,41,-2.6364877294504367,1.299534868677469,-2.028793372919327,-5.183576072058276,-0.0893993868425973
cip_gbp,cip,0,2021-03-31,20,TOTAL,41,-1.1353431116570412,0.4801834849742121,-2.364394335048849,-2.0765027422064968,-0.19418348110758543
cip_jpy,cip,0,2021-03-31,20,TOTAL,41,-1.6697081064803685,0.9488541116589356,-1.759710039682626,-3.529462165331882,0.1900459523711453
cip_nzd,cip,0,2021-03-31,20,TOTAL,41,-2.4595210261694094,1.1355818793229662,-2.1658685040270065,-4.685261509642423,-0.2337805426963957
cip_sek,cip,0,2021-03-31,20,TOTAL,41,-1.0372076878629688,0.64656353624435,-1.6041852497400753,-2.304472218901895,0.23005684317595732
eq_indu,eq_spot_fut,0,2021-03-31,20,TOTAL,41,0.13293866670015042,2.2770107328890554,0.05838297763817686,-4.330002369762398,4.595879703162699
eq_ndx,eq_spot_fut,0,2021-03-31,20,TOTAL,41,-10.225104335454796,4.976646598770771,-2.0546173276560147,-19.979331669045507,-0.47087700186408554
eq_spx,eq_spot_fut,0,2021-03-31,20,TOTAL,41,-6.023414889557401,3.0279310693600316,-1.9892840198738342,-11.958159785503064,-0.088669993611739
tips_treas_10y,tips_treas,1,2021-03-31,20,TOTAL,41,0.7993936688734538,0.5531938345601755,1.4450516598924552,-0.28486624686449,1.8836535846113975
tips_treas_2y,tips_treas,1,2021-03-31,20,TOTAL,41,3.79481395059476,1.4745219099020528,2.573589395390426,0.9047510071867362,6.684876894002784
tips_treas_5y,tips_treas,1,2021-03-31,20,TOTAL,41,-0.2990825621672247,0.5872660425486163,-0.509279509622703,-1.4501240055625124,0.8519588812280632
ust_sf_10y,ust_spot_fut,1,2021-03-31,20,TOTAL,41,1.396231113054827,1.4697086023660373,0.9500054029806173,-1.484397747582606,4.27685997369226
ust_sf_2y,ust_spot_fut,1,2021-03-31,20,TOTAL,41,-1.2764779857144695,1.7300473733665602,-0.7378283423710681,-4.6673708375129275,2.1144148660839885
ust_sf_5y,ust_spot_fut,1,2021-03-31,20,TOTAL,41,0.355678971904291,2.212698628923361,0.16074442640087624,-3.981210340785496,4.692568284594078
cip_aud,cip,0,2021-03-31,20,DIRECT,41,0.13045574703103702,0.5895597565104398,0.22127654676295216,-1.025081375729425,1.285992869791499
cip_cad,cip,0,2021-03-31,20,DIRECT,41,-0.8902282825683896,1.2205545660553097,-0.7293637722773049,-3.2825152320367965,1.5020586669000173
cip_chf,cip,0,2021-03-31,20,DIRECT,41,-2.4037519775621163,1.0316369986589744,-2.330036612380862,-4.425760494933706,-0.38174346019052674
cip_eur,cip,0,2021-03-31,20,DIRECT,41,-2.0668628578918344,1.0215188034971598,-2.0233233600947425,-4.069039712746267,-0.06468600303740102
cip_gbp,cip,0,2021-03-31,20,DIRECT,41,-1.4047274089870552,0.5590330584111484,-2.512780573262502,-2.500432203472906,-0.3090226145012045
cip_jpy,cip,0,2021-03-31,20,DIRECT,41,-2.03744424693752,0.9782073530759435,-2.082834728783052,-3.954730658966369,-0.12015783490867071
cip_nzd,cip,0,2021-03-31,20,DIRECT,41,-3.0929967924502124,1.6126132241043303,-1.918002870259302,-6.2537187116947,0.06772512679427489
cip_sek,cip,0,2021-03-31,20,DIRECT,41,-0.6908736578121069,0.5679026636284249,-1.2165353361753928,-1.8039628785238195,0.4222155628996058
eq_indu,eq_spot_fut,0,2021-03-31,20,DIRECT,41,-0.577053387545531,2.5445937535136647,-0.22677623363207403,-5.564457144432314,4.410350369341252
eq_ndx,eq_spot_fut,0,2021-03-31,20,DIRECT,41,-7.317852614275852,3.17978890165228,-2.3013642856836674,-13.55023886151432,-1.0854663670373839
eq_spx,eq_spot_fut,0,2021-03-31,20,DIRECT,41,-4.249891687078161,2.3566532403666076,-1.803358938974423,-8.868932038196712,0.3691486640403898
tips_treas_10y,tips_treas,1,2021-03-31,20,DIRECT,41,0.7413800270954015,0.7004981321409254,1.058361176252575,-0.6315963119008122,2.114356366091615
tips_treas_2y,tips_treas,1,2021-03-31,20,DIRECT,41,2.2653970709324005,1.8391117643049648,1.2317886900084818,-1.3392619871053304,5.870056128970131
tips_treas_5y,tips_treas,1,2021-03-31,20,DIRECT,41,0.047667202382909224,0.34654168756226533,0.1375511348092704,-0.6315545052391308,0.7268889100049493
ust_sf_10y,ust_spot_fut,1,2021-03-31,20,DIRECT,41,3.46638043761056,1.9066318797143722,1.8180648684683955,-0.27061804662960975,7.20337892185073
ust_sf_2y,ust_spot_fut,1,2021-03-31,20,DIRECT,41,-0.4044207965359996,1.2136453977241486,-0.3332281383791158,-2.7831657760753306,1.9743241830033316
ust_sf_5y,ust_spot_fut,1,2021-03-31,20,DIRECT,41,2.247647218554257,2.1090815529413414,1.065699529456161,-1.886152625210772,6.381447062319286
cip_aud,cip,0,2021-03-31,60,TOTAL,121,3.6895555538773084,1.8494878114095445,1.9949066607069978,0.06455944351460108,7.314551664240016
cip_cad,cip,0,2021-03-31,60,TOTAL,121,-1.6661355626344312,2.1744892846053374,-0.7662192563698144,-5.928134560460893,2.5958634351920304
cip_chf,cip,0,2021-03-31,60,TOTAL,121,-3.76336157824844,1.2800418205596682,-2.940030175422705,-6.27224354654539,-1.2544796099514905
cip_eur,cip,0,2021-03-31,60,TOTAL,121,-5.293045984646273,1.5633312554923962,-3.3857482002297354,-8.35717524541137,-2.2289167238811767
cip_gbp,cip,0,2021-03-31,60,TOTAL,121,-3.5173807310652943,1.9464848804599002,-1.8070424108479255,-7.332491096766699,0.29772963463611024
cip_jpy,cip,0,2021-03-31,60,TOTAL,121,-4.317302499483175,1.5544450407496961,-2.7773915360822117,-7.364014779352579,-1.2705902196137702
cip_nzd,cip,0,2021-03-31,60,TOTAL,121,-2.4813712763992024,3.0225295107893113,-0.8209584943808242,-8.405529117546251,3.4427865647478475
cip_sek,cip,0,2021-03-31,60,TOTAL,121,-3.8065883301673176,1.5414402361796304,-2.4695010814053515,-6.827811193079393,-0.7853654672552421
eq_indu,eq_spot_fut,0,2021-03-31,60,TOTAL,121,1.2284496774784985,2.2220280265532777,0.552850667407657,-3.126725254565926,5.583624609522923
eq_ndx,eq_spot_fut,0,2021-03-31,60,TOTAL,121,-1.3613671110571097,3.9067129015244966,-0.3484686859190166,-9.018524398045123,6.295790175930904
eq_spx,eq_spot_fut,0,2021-03-31,60,TOTAL,121,0.7488589356594266,2.0446193890655406,0.36625835579192084,-3.2585950669090327,4.756312938227886
tips_treas_10y,tips_treas,1,2021-03-31,60,TOTAL,121,-2.0780330654916743,4.480156384612112,-0.4638304753443531,-10.859139579331414,6.703073448348066
tips_treas_2y,tips_treas,1,2021-03-31,60,TOTAL,121,-7.033373257048367,3.46171425526874,-2.0317602027213972,-13.818333197375097,-0.2484133167216358
tips_treas_5y,tips_treas,1,2021-03-31,60,TOTAL,121,-2.0602463138183515,2.5026691449784444,-0.8232196085336309,-6.965477837976103,2.844985210339399
ust_sf_10y,ust_spot_fut,1,2021-03-31,60,TOTAL,121,4.179944015834454,1.8697954541791544,2.2355087057741625,0.5151449256433112,7.8447431060255965
ust_sf_2y,ust_spot_fut,1,2021-03-31,60,TOTAL,121,1.273694311345357,1.750512945905057,0.7276120489853485,-2.1573110626285548,4.704699685319269
ust_sf_5y,ust_spot_fut,1,2021-03-31,60,TOTAL,121,4.072093357827818,1.6298501914769943,2.4984464088307567,0.8775869825329092,7.266599733122726
cip_aud,cip,0,2021-03-31,60,DIRECT,121,4.3230072682572835,1.0311630459358299,4.192360544043689,2.301927698223057,6.34408683829151
cip_cad,cip,0,2021-03-31,60,DIRECT,121,-2.6886306174895096,2.1426217508599037,-1.2548321309678083,-6.88816924917492,1.5109080141959015
cip_chf,cip,0,2021-03-31,60,DIRECT,121,-4.349523752863256,1.4724207417198036,-2.9539951656636974,-7.235468406634071,-1.4635790990924407
cip_eur,cip,0,2021-03-31,60,DIRECT,121,-6.150242663961906,1.6138378716171824,-3.8109420854022455,-9.313364892331585,-2.987120435592229
cip_gbp,cip,0,2021-03-31,60,DIRECT,121,-2.922520841619734,1.8413950794779579,-1.5871231949030076,-6.531655197396532,0.6866135141570635
cip_jpy,cip,0,2021-03-31,60,DIRECT,121,-4.464723502935833,1.5452337887268301,-2.8893514596354173,-7.49338172884042,-1.4360652770312456
cip_nzd,cip,0,2021-03-31,60,DIRECT,121,-0.7691333677651429,1.2117601583603868,-0.6347240932610335,-3.144183278151501,1.6059165426212152
cip_sek,cip,0,2021-03-31,60,DIRECT,121,-4.710576626638149,1.7205862826899347,-2.737774137821043,-8.08292574071042,-1.3382275125658771
eq_indu,eq_spot_fut,0,2021-03-31,60,DIRECT,121,-0.21284758376565538,1.7227453757297673,-0.12355138882639091,-3.589428520195999,3.1637333526646882
