date,mnemonic,series_name,value
2019-01-02,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,11895000000.0
2019-01-09,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,7089000000.0
2019-01-16,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,16135000000.0
2019-01-23,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,24404000000.0
2019-01-30,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,13296000000.0
2019-02-06,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,10163000000.0
2019-02-13,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,13090000000.0
2019-02-20,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,20738000000.0
2019-02-27,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,16088000000.0
2019-03-06,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,8959000000.0
2019-03-13,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,15293000000.0
2019-03-20,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,14986000000.0
2019-03-27,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,22424000000.0
2019-04-03,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,9570000000.0
2019-04-10,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,13555000000.0
2019-04-17,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,37239000000.0
2019-04-24,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,28828000000.0
2019-05-01,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,12779000000.0
2019-05-08,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,9918000000.0
2019-05-15,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,29540000000.0
2019-05-22,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,25371000000.0
2019-05-29,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,11074000000.0
2019-06-05,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,9068000000.0
2019-06-12,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,12085000000.0
2019-06-19,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,73670000000.0
2019-06-26,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,38394000000.0
2019-07-03,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,24250000000.0
2019-07-10,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,12636000000.0
2019-07-17,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,23187000000.0
2019-07-24,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,27983000000.0
2019-07-31,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,9105000000.0
2019-08-07,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,6194000000.0
2019-08-14,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,21616000000.0
2019-08-21,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,27523000000.0
2019-08-28,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,18512000000.0
2019-09-04,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,16185000000.0
2019-09-11,NYPD-PD_AFtD_AG-A,NYPD-PD_AFtD_AG-A,14616000000.0
