issue_date,tenor_bucket,issuance_amount,n_issues
2019-01-15,2.0,16000000000,1
2019-01-15,10.0,24000000000,1
2019-01-31,2.0,60000000000,2
2019-01-31,5.0,41000000000,1
2019-01-31,10.0,13000000000,1
2019-02-15,10.0,27000000000,1
2019-02-15,30.0,19000000000,1
2019-02-28,2.0,40000000000,1
2019-02-28,5.0,41000000000,1
2019-02-28,30.0,8000000000,1
2019-03-15,2.0,16000000000,1
2019-03-29,10.0,29000000000,2
2019-04-01,2.0,40000000000,1
2019-04-01,5.0,41000000000,1
2019-04-15,2.0,16000000000,1
2019-04-15,10.0,24000000000,1
2019-04-30,2.0,60000000000,2
2019-04-30,5.0,58000000000,2
2019-05-15,10.0,27000000000,1
2019-05-15,30.0,19000000000,1
2019-05-31,2.0,40000000000,1
2019-05-31,5.0,41000000000,1
2019-06-17,2.0,16000000000,1
2019-06-28,10.0,33000000000,2
2019-07-01,2.0,40000000000,1
2019-07-01,5.0,41000000000,1
2019-07-15,2.0,16000000000,1
2019-07-15,10.0,24000000000,1
2019-07-31,2.0,60000000000,2
2019-07-31,5.0,41000000000,1
2019-07-31,10.0,14000000000,1
2019-08-15,10.0,27000000000,1
2019-08-15,30.0,19000000000,1
2019-08-30,2.0,7000000000,1
2019-09-03,2.0,40000000000,1
2019-09-03,5.0,41000000000,1
2019-09-16,2.0,16000000000,1
2019-09-27,10.0,18000000000,1
2019-09-30,2.0,40000000000,1
2019-09-30,5.0,41000000000,1
2019-09-30,10.0,12000000000,1
2019-10-15,2.0,16000000000,1
2019-10-15,10.0,24000000000,1
2019-10-31,2.0,60000000000,2
2019-10-31,5.0,58000000000,2
2019-11-15,10.0,27000000000,1
2019-11-15,30.0,19000000000,1
2019-12-02,2.0,40000000000,1
2019-12-02,5.0,41000000000,1
2019-12-16,2.0,16000000000,1
2019-12-27,10.0,18000000000,1
2019-12-31,2.0,40000000000,1
2019-12-31,5.0,41000000000,1
2019-12-31,10.0,15000000000,1
2020-01-15,2.0,16000000000,1
2020-01-15,10.0,24000000000,1
2020-01-31,2.0,60000000000,2
2020-01-31,5.0,41000000000,1
2020-01-31,10.0,14000000000,1
2020-02-18,10.0,27000000000,1
2020-02-18,30.0,19000000000,1
2020-02-28,30.0,8000000000,1
2020-03-02,2.0,40000000000,1
2020-03-02,5.0,41000000000,1
2020-03-16,2.0,16000000000,1
2020-03-27,10.0,18000000000,1
2020-03-31,2.0,40000000000,1
2020-03-31,5.0,41000000000,1
2020-03-31,10.0,12000000000,1
2020-04-15,2.0,17000000000,1
2020-04-15,10.0,25000000000,1
2020-04-30,2.0,64000000000,2
2020-04-30,5.0,60000000000,2
2020-05-15,10.0,32000000000,1
2020-05-15,30.0,22000000000,1
2020-06-01,2.0,64000000000,2
2020-06-01,5.0,45000000000,1
2020-06-15,2.0,19000000000,1
2020-06-26,10.0,20000000000,1
2020-06-30,2.0,46000000000,1
2020-06-30,5.0,47000000000,1
2020-06-30,10.0,15000000000,1
2020-07-13,10.0,25000000,1
2020-07-15,2.0,19000000000,1
2020-07-15,10.0,29000000000,1
2020-07-31,2.0,72000000000,2
2020-07-31,5.0,49000000000,1
2020-07-31,10.0,31000000000,2
2020-08-17,10.0,38000000000,1
2020-08-17,30.0,26000000000,1
2020-08-31,2.0,82000000000,3
2020-08-31,5.0,51000000000,1
2020-09-15,2.0,23000000000,1
2020-09-25,10.0,22000000000,1
2020-09-30,2.0,52000000000,1
2020-09-30,5.0,53000000000,1
2020-09-30,10.0,12000000000,1
2020-10-15,2.0,23000000000,1
2020-10-15,10.0,35000000000,1
2020-10-30,5.0,17000000000,1
2020-11-02,2.0,80000000000,2
2020-11-02,5.0,55000000000,1
2020-11-02,10.0,22000000000,1
2020-11-16,10.0,41000000000,1
2020-11-16,30.0,27000000000,1
2020-11-30,2.0,83000000000,2
2020-11-30,5.0,57000000000,1
2020-12-15,2.0,24000000000,1
2020-12-28,10.0,24000000000,1
2020-12-31,2.0,58000000000,1
2020-12-31,5.0,59000000000,1
2020-12-31,10.0,15000000000,1
2021-01-15,2.0,24000000000,1
2021-01-15,10.0,38000000000,1
2021-01-29,10.0,15000000000,1
2021-02-01,2.0,88000000000,2
2021-02-01,5.0,61000000000,1
2021-02-01,10.0,24000000000,1
2021-02-16,10.0,41000000000,1
2021-02-16,30.0,27000000000,1
2021-02-26,30.0,9000000000,1
2021-03-01,2.0,87000000000,2
2021-03-01,5.0,61000000000,1
2021-03-15,2.0,24000000000,1
2021-03-26,10.0,26000000000,1
2021-03-31,2.0,60000000000,1
2021-03-31,5.0,61000000000,1
2021-03-31,10.0,13000000000,1
2021-04-15,2.0,24000000000,1
2021-04-15,10.0,38000000000,1
2021-04-30,2.0,88000000000,2
2021-04-30,5.0,79000000000,2
2021-04-30,10.0,24000000000,1
2021-05-17,10.0,41000000000,1
2021-05-17,30.0,27000000000,1
2021-06-01,2.0,87000000000,2
2021-06-01,5.0,61000000000,1
2021-06-15,2.0,24000000000,1
2021-06-25,10.0,26000000000,1
2021-06-30,2.0,60000000000,1
2021-06-30,5.0,61000000000,1
2021-06-30,10.0,16000000000,1
2021-07-15,2.0,24000000000,1
2021-07-15,10.0,38000000000,1
2021-07-30,10.0,16000000000,1
2021-08-02,2.0,88000000000,2
2021-08-02,5.0,61000000000,1
2021-08-02,10.0,24000000000,1
2021-08-16,10.0,41000000000,1
2021-08-16,30.0,27000000000,1
2021-08-31,2.0,95000000000,3
2021-08-31,5.0,61000000000,1
2021-09-15,2.0,24000000000,1
2021-09-24,10.0,26000000000,1
2021-09-30,2.0,60000000000,1
2021-09-30,5.0,61000000000,1
2021-09-30,10.0,14000000000,1
2021-10-15,2.0,24000000000,1
2021-10-15,10.0,38000000000,1
2021-10-29,5.0,19000000000,1
2021-11-01,2.0,88000000000,2
