date,bid_ask_spread,pubout,n_issues
1980-01-31,0.3125,261726.0,109
1980-02-29,0.28125,264228.0,111
1980-03-31,0.34375,269122.0,113
1980-04-30,0.375,270813.0,113
1980-05-30,0.375,271119.0,113
1980-06-30,0.34375,281304.0,115
1980-07-31,0.3125,283302.0,116
1980-08-29,0.28125,281123.0,115
1980-09-30,0.34375,290756.0,117
1980-10-31,0.34375,285580.0,116
1980-11-28,0.28125,292500.0,118
1980-12-31,0.28125,302536.0,120
1981-01-30,0.28125,301158.0,119
1981-02-27,0.28125,302519.0,118
1981-03-31,0.3125,319925.0,122
1981-04-30,0.25,324737.0,123
1981-05-29,0.25,322614.0,122
1981-06-30,0.21875,334111.0,125
1981-07-31,0.28125,337054.0,126
1981-08-31,0.34375,344709.0,127
1981-09-30,0.28125,350618.0,128
1981-10-30,0.25,345129.0,126
1981-11-30,0.21875,361383.0,130
1981-12-31,0.21875,364631.0,132
1982-01-29,0.21875,364091.0,132
1982-02-26,0.3125,367210.0,130
1982-03-31,0.28125,384869.0,135
1982-04-30,0.25,385784.0,136
1982-05-28,0.21875,375901.0,129
1982-06-30,0.21875,402182.0,136
1982-07-30,0.25,384117.0,130
1982-08-31,0.25,402349.0,131
1982-09-30,0.25,436067.0,139
1982-10-29,0.25,437450.0,138
1982-11-30,0.25,418740.0,134
1982-12-31,0.25,407613.0,135
1983-01-31,0.25,402964.0,134
1983-02-28,0.25,394043.0,133
1983-03-31,0.25,497835.0,146
1983-04-29,0.25,493591.0,145
1983-05-31,0.21875,486054.0,143
1983-06-30,0.21875,533024.0,149
1983-07-29,0.21875,528437.0,148
1983-08-31,0.21875,517019.0,145
1983-09-30,0.234375,560519.0,152
1983-10-31,0.21875,555688.0,151
1983-11-30,0.21875,549160.0,149
1983-12-30,0.21875,589904.0,154
1984-01-31,0.21875,584256.0,153
1984-02-29,0.21875,574442.0,151
1984-03-30,0.1875,627262.0,156
1984-04-30,0.1875,622211.0,155
1984-05-31,0.1875,611080.0,152
1984-06-29,0.21875,660922.0,159
1984-07-31,0.21875,654928.0,158
1984-08-31,0.21875,640856.0,154
1984-09-28,0.21875,692308.0,162
1984-10-31,0.21875,684947.0,161
1984-11-30,0.21875,673141.0,159
1984-12-31,0.21875,738878.0,168
1985-01-31,0.21875,731205.0,167
1985-02-28,0.1875,715448.0,164
1985-03-29,0.1875,753871.0,168
1985-04-30,0.1875,745646.0,167
1985-05-31,0.1875,726882.0,161
1985-06-28,0.1875,782941.0,168
1985-07-31,0.1875,774572.0,167
1985-08-30,0.1875,753875.0,163
1985-09-30,0.1875,822106.0,171
1985-10-31,0.1875,813986.0,170
1985-11-29,0.1875,806465.0,168
1985-12-31,0.1875,868656.0,175
