date,sofr,sofr_volume
2019-01-02,3.15,1092
2019-01-03,2.7,1063
2019-01-04,2.45,1041
2019-01-07,2.41,1052
2019-01-08,2.42,1070
2019-01-09,2.45,1032
2019-01-10,2.43,1026
2019-01-11,2.41,973
2019-01-14,2.4,977
2019-01-15,2.46,991
2019-01-16,2.43,988
2019-01-17,2.41,969
2019-01-18,2.42,974
2019-01-22,2.41,967
2019-01-23,2.4,956
2019-01-24,2.41,994
2019-01-25,2.4,915
2019-01-28,2.39,981
2019-01-29,2.4,934
2019-01-30,2.39,948
2019-01-31,2.58,1048
2019-02-01,2.47,993
2019-02-04,2.4,964
2019-02-05,2.4,932
2019-02-06,2.38,942
2019-02-07,2.38,918
2019-02-08,2.37,912
2019-02-11,2.4,984
2019-02-12,2.39,920
2019-02-13,2.38,928
2019-02-14,2.39,862
2019-02-15,2.43,913
2019-02-19,2.4,941
2019-02-20,2.39,913
2019-02-21,2.39,886
2019-02-22,2.4,894
2019-02-25,2.38,938
2019-02-26,2.38,919
2019-02-27,2.37,898
2019-02-28,2.58,1003
2019-03-01,2.38,1007
2019-03-04,2.38,965
2019-03-05,2.38,956
2019-03-06,2.38,977
2019-03-07,2.38,972
2019-03-08,2.39,954
2019-03-11,2.38,949
2019-03-12,2.39,916
2019-03-13,2.4,925
2019-03-14,2.42,879
2019-03-15,2.46,940
2019-03-18,2.41,942
2019-03-19,2.42,945
2019-03-20,2.47,928
2019-03-21,2.44,921
2019-03-22,2.4,889
2019-03-25,2.4,919
2019-03-26,2.4,901
2019-03-27,2.4,879
2019-03-28,2.43,898
2019-03-29,2.65,897
2019-04-01,2.46,978
2019-04-02,2.46,978
2019-04-03,2.47,987
2019-04-04,2.46,1000
2019-04-05,2.46,976
2019-04-08,2.46,949
2019-04-09,2.45,970
2019-04-10,2.45,945
2019-04-11,2.44,974
2019-04-12,2.44,955
2019-04-15,2.47,968
2019-04-16,2.47,961
2019-04-17,2.5,954
2019-04-18,2.5,979
2019-04-22,2.46,978
2019-04-23,2.46,969
2019-04-24,2.44,1018
2019-04-25,2.45,962
2019-04-26,2.46,982
2019-04-29,2.48,968
2019-04-30,2.76,1084
2019-05-01,2.54,1074
2019-05-02,2.5,1053
2019-05-03,2.43,1076
2019-05-06,2.42,1021
2019-05-07,2.44,1069
2019-05-08,2.43,1034
2019-05-09,2.41,1011
2019-05-10,2.4,1034
2019-05-13,2.38,1007
2019-05-14,2.39,1012
2019-05-15,2.48,1052
2019-05-16,2.43,1030
2019-05-17,2.42,1036
2019-05-20,2.39,1038
2019-05-21,2.38,1017
2019-05-22,2.37,1037
2019-05-23,2.37,1039
2019-05-24,2.37,1038
2019-05-28,2.41,1085
2019-05-29,2.4,1099
2019-05-30,2.4,1083
2019-05-31,2.49,1136
2019-06-03,2.4,1162
2019-06-04,2.39,1110
2019-06-05,2.4,1082
2019-06-06,2.4,1031
2019-06-07,2.39,1104
2019-06-10,2.39,1112
2019-06-11,2.38,1048
2019-06-12,2.37,1099
2019-06-13,2.35,1039
2019-06-14,2.35,1047
2019-06-17,2.41,1098
2019-06-18,2.39,1059
2019-06-19,2.36,1059
2019-06-20,2.36,1067
2019-06-21,2.37,1103
2019-06-24,2.39,1092
2019-06-25,2.41,1101
2019-06-26,2.43,1099
2019-06-27,2.42,1117
2019-06-28,2.5,1113
2019-07-01,2.42,1181
2019-07-02,2.51,1224
2019-07-03,2.56,1213
2019-07-05,2.59,1193
2019-07-08,2.48,1211
2019-07-09,2.45,1178
2019-07-10,2.46,1139
2019-07-11,2.41,1147
2019-07-12,2.36,1138
2019-07-15,2.46,1199
2019-07-16,2.47,1102
2019-07-17,2.47,1104
2019-07-18,2.46,1114
2019-07-19,2.41,1140
2019-07-22,2.4,1123
2019-07-23,2.4,1091
2019-07-24,2.41,1139
2019-07-25,2.42,1153
2019-07-26,2.41,1142
2019-07-29,2.4,1153
2019-07-30,2.39,1158
2019-07-31,2.55,1217
2019-08-01,2.19,1183
2019-08-02,2.19,1185
2019-08-05,2.13,1253
2019-08-06,2.11,1234
2019-08-07,2.1,1196
2019-08-08,2.09,1218
2019-08-09,2.11,1186
2019-08-12,2.12,1177
2019-08-13,2.16,1183
2019-08-14,2.13,1244
2019-08-15,2.18,1218
2019-08-16,2.13,1247
2019-08-19,2.11,1241
2019-08-20,2.13,1228
2019-08-21,2.1,1188
2019-08-22,2.09,1160
2019-08-23,2.1,1130
2019-08-26,2.1,1190
2019-08-27,2.15,1197
2019-08-28,2.12,1196
2019-08-29,2.12,1196
2019-08-30,2.16,1194
2019-09-03,2.17,1281
2019-09-04,2.21,1222
2019-09-05,2.21,1197
2019-09-06,2.15,1222
2019-09-09,2.12,1243
2019-09-10,2.14,1186
2019-09-11,2.15,1179
2019-09-12,2.2,1156
2019-09-13,2.2,1134
2019-09-16,2.43,1156
2019-09-17,5.25,1177
2019-09-18,2.55,1196
2019-09-19,1.95,1137
2019-09-20,1.86,1121
2019-09-23,1.85,1140
2019-09-24,1.96,1085
2019-09-25,2.01,1080
2019-09-26,1.85,1092
2019-09-27,1.82,1084
2019-09-30,2.35,1097
2019-10-01,1.88,1183
2019-10-02,1.85,1147
2019-10-03,1.84,1120
2019-10-04,1.82,1094
2019-10-07,1.83,1070
2019-10-08,1.85,1070
2019-10-09,1.85,1061
2019-10-10,1.85,1124
2019-10-11,1.85,1024
2019-10-15,2.0,1088
2019-10-16,2.05,1086
2019-10-17,1.95,1077
2019-10-18,1.88,1120
2019-10-21,1.86,1054
2019-10-22,1.87,1079
2019-10-23,1.87,1065
2019-10-24,1.86,1086
2019-10-25,1.84,1077
2019-10-28,1.82,1089
2019-10-29,1.81,1048
2019-10-30,1.82,1099
2019-10-31,1.76,1174
2019-11-01,1.58,1118
2019-11-04,1.56,1146
2019-11-05,1.58,1062
2019-11-06,1.57,1083
2019-11-07,1.56,1066
2019-11-08,1.56,1016
2019-11-12,1.57,1064
2019-11-13,1.57,1018
2019-11-14,1.58,1027
2019-11-15,1.59,1049
2019-11-18,1.56,1012
2019-11-19,1.57,1008
2019-11-20,1.57,1001
2019-11-21,1.58,993
2019-11-22,1.58,1028
2019-11-25,1.56,994
2019-11-26,1.54,1056
2019-11-27,1.55,1011
2019-11-29,1.65,1004
2019-12-02,1.63,1104
2019-12-03,1.55,1050
2019-12-04,1.54,1046
2019-12-05,1.55,1017
2019-12-06,1.55,1017
2019-12-09,1.56,1042
2019-12-10,1.55,1049
2019-12-11,1.54,1056
2019-12-12,1.53,1039
2019-12-13,1.54,1017
2019-12-16,1.62,1025
2019-12-17,1.54,1014
2019-12-18,1.53,1057
2019-12-19,1.53,988
2019-12-20,1.53,967
2019-12-23,1.52,1027
2019-12-24,1.52,1006
2019-12-26,1.52,1000
2019-12-27,1.53,1038
2019-12-30,1.54,1036
2019-12-31,1.55,1010
2020-01-02,1.54,1123
2020-01-03,1.55,1030
2020-01-06,1.55,1034
2020-01-07,1.56,1028
2020-01-08,1.55,1007
2020-01-09,1.55,1011
2020-01-10,1.55,1013
2020-01-13,1.54,1021
2020-01-14,1.55,1009
2020-01-15,1.56,1022
2020-01-16,1.55,1069
2020-01-17,1.54,1043
2020-01-21,1.54,1067
2020-01-22,1.54,1085
2020-01-23,1.54,1051
2020-01-24,1.53,1070
2020-01-27,1.53,1051
2020-01-28,1.53,1074
2020-01-29,1.53,1082
2020-01-30,1.58,1072
2020-01-31,1.6,1149
2020-02-03,1.59,1134
2020-02-04,1.6,1161
2020-02-05,1.59,1168
2020-02-06,1.59,1105
2020-02-07,1.58,1111
2020-02-10,1.58,1111
2020-02-11,1.58,1114
2020-02-12,1.57,1124
2020-02-13,1.57,1114
2020-02-14,1.58,1086
2020-02-18,1.6,1163
2020-02-19,1.59,1128
2020-02-20,1.6,1112
2020-02-21,1.58,1099
2020-02-24,1.58,1106
2020-02-25,1.59,1122
2020-02-26,1.58,1120
2020-02-27,1.58,1106
2020-02-28,1.6,1156
2020-03-02,1.59,1291
2020-03-03,1.64,1238
2020-03-04,1.23,1261
2020-03-05,1.12,1254
2020-03-06,1.1,1295
2020-03-09,1.09,1256
2020-03-10,1.11,1264
2020-03-11,1.15,1222
2020-03-12,1.2,1293
2020-03-13,1.1,1298
2020-03-16,0.26,1306
2020-03-17,0.54,1335
2020-03-18,0.1,1358
2020-03-19,0.06,1319
2020-03-20,0.04,1235
2020-03-23,0.02,1277
2020-03-24,0.01,1280
2020-03-25,0.01,1229
2020-03-26,0.01,1233
2020-03-27,0.01,1222
2020-03-30,0.01,1157
2020-03-31,0.01,1127
2020-04-01,0.01,1226
2020-04-02,0.01,1202
2020-04-03,0.01,1266
2020-04-06,0.01,1254
2020-04-07,0.01,1226
2020-04-08,0.01,1152
2020-04-09,0.01,1160
2020-04-13,0.02,1193
2020-04-14,0.06,1152
2020-04-15,0.03,1257
2020-04-16,0.03,1223
2020-04-17,0.03,1231
2020-04-20,0.02,1158
2020-04-21,0.01,1163
2020-04-22,0.01,1158
2020-04-23,0.01,1141
2020-04-24,0.03,1208
2020-04-27,0.03,1145
2020-04-28,0.01,1165
2020-04-29,0.01,1141
2020-04-30,0.04,1180
2020-05-01,0.03,1190
2020-05-04,0.05,1184
2020-05-05,0.05,1172
2020-05-06,0.05,1127
2020-05-07,0.05,1127
2020-05-08,0.06,1142
2020-05-11,0.06,1123
2020-05-12,0.06,1142
2020-05-13,0.04,1085
2020-05-14,0.02,1102
2020-05-15,0.05,1127
2020-05-18,0.04,1130
2020-05-19,0.04,1127
2020-05-20,0.01,1103
2020-05-21,0.02,1117
2020-05-22,0.04,1085
2020-05-26,0.06,1081
2020-05-27,0.06,1069
2020-05-28,0.06,1031
2020-05-29,0.06,1061
2020-06-01,0.06,1104
2020-06-02,0.07,1054
2020-06-03,0.06,1024
2020-06-04,0.07,1067
2020-06-05,0.07,1021
2020-06-08,0.07,1032
2020-06-09,0.08,1034
2020-06-10,0.07,1008
2020-06-11,0.08,1009
2020-06-12,0.08,969
2020-06-15,0.09,1000
2020-06-16,0.09,986
2020-06-17,0.09,1012
2020-06-18,0.09,1046
2020-06-19,0.09,963
2020-06-22,0.08,1024
2020-06-23,0.07,992
2020-06-24,0.08,1015
2020-06-25,0.09,984
2020-06-26,0.08,938
2020-06-29,0.08,940
2020-06-30,0.1,970
2020-07-01,0.11,1003
2020-07-02,0.11,952
2020-07-06,0.1,977
2020-07-07,0.1,969
2020-07-08,0.1,954
2020-07-09,0.1,984
2020-07-10,0.1,942
2020-07-13,0.1,960
2020-07-14,0.11,972
2020-07-15,0.13,939
2020-07-16,0.12,957
2020-07-17,0.12,988
2020-07-20,0.12,975
2020-07-21,0.11,963
2020-07-22,0.1,1031
2020-07-23,0.1,942
2020-07-24,0.1,950
2020-07-27,0.1,973
2020-07-28,0.1,955
2020-07-29,0.09,948
2020-07-30,0.1,928
2020-07-31,0.1,1034
2020-08-03,0.1,991
2020-08-04,0.09,1051
2020-08-05,0.09,1028
2020-08-06,0.09,1029
2020-08-07,0.09,944
2020-08-10,0.09,948
2020-08-11,0.1,956
2020-08-12,0.09,964
2020-08-13,0.09,989
2020-08-14,0.09,930
2020-08-17,0.1,944
2020-08-18,0.09,977
2020-08-19,0.09,961
