bank_id,report_date,assets,reserves,ust,reserves_share,ust_share,exempt_assets,exempt_assets_share,slr_bps,slr_pct,b488,b489,b491
1020180,2020-03-31,13266052.0,0.0,0.0,0.0,0.0,0.0,0.0,,,131.0,21021.0,0.0
1020902,2020-03-31,22330253.0,0.0,0.0,0.0,0.0,0.0,0.0,16488.0,16.488,2086.0,22402.0,0.0
1022764,2020-03-31,6108548.0,0.0,0.0,0.0,0.0,0.0,0.0,19072.0,19.072,182.0,6245.0,0.0
1025309,2020-03-31,18542233.0,214612.0,216723.0,0.01157422625419495,0.01168807446222901,431335.0,0.02326230071642396,10821.0,10.821,2718.0,30176.0,0.0
1025541,2020-03-31,5628887.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.171,299.0,7109.0,0.0
1025608,2020-03-31,20755891.0,0.0,0.0,0.0,0.0,0.0,0.0,4129.0,4.129,584.0,20567.0,0.0
1026632,2020-03-31,370779000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,16000.0,958000.0,0.0
1026801,2020-03-31,4378345.0,0.0,0.0,0.0,0.0,0.0,0.0,,,53.0,713.0,
1029222,2020-03-31,11606888.0,0.0,0.0,0.0,0.0,0.0,0.0,38406.0,38.406,716.0,11801.0,0.0
1029464,2020-03-31,7353289.0,0.0,0.0,0.0,0.0,0.0,0.0,34611.0,34.611,8775.0,2905.0,0.0
1030170,2020-03-31,6474309.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5335.0,0.0
1031449,2020-03-31,75011657.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33206.0,121199.0,
1032464,2020-03-31,4471768.0,0.0,0.0,0.0,0.0,0.0,0.0,,,129.0,3528.0,
1036967,2020-03-31,58936684.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2636.0,31452.0,0.0
1037003,2020-03-31,124577833.0,2999.0,3000.0,2.4073303635005436e-05,2.4081330745253853e-05,5999.0,4.815463438025929e-05,,,859.0,45404.0,22953.0
1039502,2020-03-31,3140887000.0,51000.0,53000.0,1.6237451395099536e-05,1.6874214194907363e-05,104000.0,3.31116655900069e-05,,,612000.0,1251000.0,8000.0
