Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_INDU_rf,ois_fwd_raw,ois_fwd_INDU,spread_INDU,spread_INDU_filtered
2010-01-04,10519.0,93770.0,69420.0,MAR 10,2010-03-19,74.0,10459.0,100.0,175.0,JUN 10,2010-06-18,165.0,INDU,0.00162,0.377875,0.0,66.742116,0.0,137.80560500000004,66.36424099999999,137.42773000000005,66.37529064612649,137.47875004476253,0.0010489433859228736,0.4149666142112467,0.00040936368189403716,0.16194607195808064,25.302054225316606,0.25302054225316606
2010-01-05,10515.0,93287.0,65749.0,MAR 10,2010-03-19,73.0,10455.0,26.0,173.0,JUN 10,2010-06-18,164.0,INDU,0.00155,0.377875,0.0,66.742116,0.0,137.80560500000004,66.36424099999999,137.42773000000005,66.37467032481825,137.47624962356394,0.0010491622917274679,0.41505321430976755,0.00039168244758625015,0.15495129794620885,26.010191636355874,0.2601019163635587
2010-01-06,10516.0,97172.0,63888.0,MAR 10,2010-03-19,72.0,10455.0,157.0,193.0,JUN 10,2010-06-18,163.0,INDU,0.00146,7.141832000000001,0.0,66.742116,0.0,137.80560500000004,59.600283999999995,130.66377300000005,59.608985641463995,130.7069610065258,0.0009548363010369876,0.3777374377728742,0.0003689478227912879,0.1459573804449051,23.178005732796912,0.2317800573279691
2010-01-07,10545.0,112280.0,67401.0,MAR 10,2010-03-19,71.0,10484.0,34.0,180.0,JUN 10,2010-06-18,162.0,INDU,0.00145,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.24826250181701,129.34560924208006,0.0009522880621377627,0.3767293432632908,0.0003664229909807748,0.1449585458825043,23.177079738078646,0.23177079738078646
2010-01-08,10566.0,79925.0,61714.0,MAR 10,2010-03-19,70.0,10505.0,146.0,531.0,JUN 10,2010-06-18,161.0,INDU,0.0014299999999999,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.24803196874097,129.34477056570492,0.0009503485391704203,0.3759620594520344,0.0003613717408021966,0.1429602491085613,23.30018103434731,0.23300181034347311
2010-01-11,10604.0,93891.0,63318.0,MAR 10,2010-03-19,67.0,10542.0,45.0,230.0,JUN 10,2010-06-18,158.0,INDU,0.0014299999999999,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.247684955794924,129.3440001328036,0.0008531329833805223,0.33750315826042643,0.00036137604600261497,0.14296195226477076,19.454120599565567,0.19454120599565566
2010-01-12,10588.0,126885.0,62710.0,MAR 10,2010-03-19,66.0,10527.0,55.0,234.0,JUN 10,2010-06-18,157.0,INDU,0.0014149999999999,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.24748920490229,129.34332039188715,0.0009482995015117623,0.3751514511475104,0.00035758779132244456,0.14146330206162644,23.368814908588398,0.23368814908588398
2010-01-13,10628.0,113576.0,63479.0,MAR 10,2010-03-19,65.0,10566.0,21.0,208.0,JUN 10,2010-06-18,156.0,INDU,0.00147,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.24766392470729,129.34460714054404,0.0008512757238956503,0.3367684182444331,0.00037148473509329705,0.1469609941028428,18.980742414159028,0.1898074241415903
2010-01-14,10663.0,80520.0,64500.0,MAR 10,2010-03-19,64.0,10601.0,11.0,206.0,JUN 10,2010-06-18,155.0,INDU,0.0014299999999999,8.502181,0.0,66.742116,0.0,137.80560500000004,58.239934999999996,129.30342400000004,58.24733794284889,129.34322969990225,0.0008483986489951079,0.3356302347672954,0.0003613803513062841,0.14296365546182668,19.266657930546874,0.19266657930546874
2010-01-15,10563.0,140591.0,66826.0,MAR 10,2010-03-19,63.0,10501.0,80.0,221.0,JUN 10,2010-06-18,154.0,INDU,0.00138,11.676328,0.0,66.742116,0.0,137.80560500000004,55.065788,126.12927700000004,55.072437193900996,126.1665061582612,0.0008564707971385754,0.3388236120548211,0.00034874911042304113,0.1379666810464778,20.08569310083433,0.2008569310083433
