bin,coef,se,t,pvalue,stars,is_pre
"[-60,-51]",-1.8067981335483043,1.7220142941833139,-1.0492352703757317,0.2940698492810152,,True
"[-50,-41]",-4.721909715631798,1.6692100338018712,-2.82882897898532,0.004671865713774989,***,True
"[-40,-31]",-4.374926646371195,0.9748502670868923,-4.487793453085489,7.196464758235472e-06,***,True
"[-30,-21]",-2.9019532554613203,1.1429337601542744,-2.5390388810193265,0.011115746913299683,**,True
"[-20,-11]",-3.9062757420487344,1.3825657645441887,-2.8253815060555727,0.004722435123443907,***,True
"[-10,-1]",-3.4767590862492117,0.9089634698083082,-3.8249711916172244,0.00013078737914482344,***,True
"[+0,+9]",0.5625591148219321,1.0618259050646277,0.5298035319525305,0.5962481561418577,,False
"[+10,+19]",0.6872856098270307,0.8755947930704252,0.7849356977294764,0.43249127071519433,,False
"[+20,+29]",-0.700895079940749,0.9099117137709724,-0.7702891053418909,0.4411284175184441,,False
"[+30,+39]",-2.767147698726116,0.8854933123689427,-3.1249786532246313,0.0017781796334474561,***,False
"[+40,+49]",-1.1679336596582877,0.7979716955266127,-1.4636279284160856,0.14329563735931794,,False
"[+50,+60]",2.185393898989692,0.8977832566680959,2.434211022268615,0.014924291481745948,**,False
