term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[-40,-21]",-8.964943968033095,14.28688707556847,-36.9672426361473,19.03735470008111,56,2020-04-01,2,TOTAL
"bin_[-60,-41]",-16.657375883649458,20.95342084836767,-57.726080746450094,24.41132897915118,56,2020-04-01,2,TOTAL
"bin_[1,20]",-24.859389467913402,5.187344442885808,-35.026584575969586,-14.692194359857218,56,2020-04-01,2,TOTAL
"bin_[21,40]",-13.67663151716623,6.260948705175271,-25.94809097930976,-1.4051720550226996,56,2020-04-01,2,TOTAL
"bin_[41,60]",-2.714062684968235,9.798049798697566,-21.91824029041546,16.490114920478995,56,2020-04-01,2,TOTAL
"bin_[-40,-21]",112.48793870360947,41.70640299244736,30.743388838412656,194.23248856880627,56,2020-04-01,2,DIRECT
"bin_[-60,-41]",98.25410582584149,40.606644729541486,18.665082155940183,177.8431294957428,56,2020-04-01,2,DIRECT
"bin_[1,20]",-53.50799591122312,6.642665696374597,-66.52762067611732,-40.48837114632891,56,2020-04-01,2,DIRECT
"bin_[21,40]",-18.393119815829877,3.2881757635261004,-24.837944312341033,-11.94829531931872,56,2020-04-01,2,DIRECT
"bin_[41,60]",-36.03138958269915,8.21981596601705,-52.14222887609257,-19.92055028930573,56,2020-04-01,2,DIRECT
"bin_[-40,-21]",6.071441230652999,11.291506988037867,-16.05991246590122,28.202794927207215,56,2020-04-01,5,TOTAL
"bin_[-60,-41]",2.481590893088095,16.468317343702456,-29.796311100568715,34.75949288674491,56,2020-04-01,5,TOTAL
"bin_[1,20]",-7.441600176466107,4.656372209835336,-16.568089707743365,1.6848893548111512,56,2020-04-01,5,TOTAL
"bin_[21,40]",-1.695749346081935,5.0648613795813695,-11.62287765006142,8.23137895789755,56,2020-04-01,5,TOTAL
"bin_[41,60]",4.855665722380907,7.847120142350485,-10.524689756626042,20.236021201387857,56,2020-04-01,5,TOTAL
"bin_[-40,-21]",184.32167238250332,5.69070872742347,173.16788327675332,195.47546148825333,56,2020-04-01,5,DIRECT
"bin_[-60,-41]",175.49278574744332,5.540650139397195,164.63311147422482,186.35246002066182,56,2020-04-01,5,DIRECT
"bin_[1,20]",-28.176285847659493,0.9063710351265001,-29.952773076507434,-26.399798618811552,56,2020-04-01,5,DIRECT
"bin_[21,40]",-3.1348738667869727,0.4486613366846228,-4.0142500866888335,-2.255497646885112,56,2020-04-01,5,DIRECT
"bin_[41,60]",-21.14940347948589,1.121568274878558,-23.347677298247863,-18.951129660723918,56,2020-04-01,5,DIRECT
"bin_[-40,-21]",-8.061634058530041,8.888800052629655,-25.483682161684165,9.360414044624084,56,2020-04-01,10,TOTAL
"bin_[-60,-41]",-10.861882217055005,12.76390786885028,-35.87914164000155,14.155377205891543,56,2020-04-01,10,TOTAL
"bin_[1,20]",-10.550639389485347,7.754937115989184,-25.750316136824146,4.649037357853452,56,2020-04-01,10,TOTAL
"bin_[21,40]",-4.9391546727005995,6.297864648563022,-17.282969383884122,7.404660038482923,56,2020-04-01,10,TOTAL
"bin_[41,60]",-5.6037183978574605,7.584410153683251,-20.469162299076633,9.26172550336171,56,2020-04-01,10,TOTAL
"bin_[-40,-21]",163.5652276843701,33.78789219937834,97.34095897358854,229.78949639515162,56,2020-04-01,10,DIRECT
"bin_[-60,-41]",164.13956901585965,32.89693755054131,99.66157141679868,228.61756661492063,56,2020-04-01,10,DIRECT
"bin_[1,20]",10.622836969787963,5.381467984860614,0.07515971946116018,21.170514220114768,56,2020-04-01,10,DIRECT
"bin_[21,40]",4.259151114483109,2.663872217693167,-0.9620384321954978,9.480340661161716,56,2020-04-01,10,DIRECT
"bin_[41,60]",13.548309462336624,6.659175470252727,0.49632554064127987,26.600293384031968,56,2020-04-01,10,DIRECT
"bin_[-40,-21]",-24.87932403003027,1.9951622381770044,-28.789842016857197,-20.96880604320334,56,2020-04-01,20,TOTAL
"bin_[-60,-41]",-32.046052108136195,2.841756131741713,-37.61589412634995,-26.47621008992244,56,2020-04-01,20,TOTAL
"bin_[1,20]",-11.271974125427679,1.590883977642605,-14.390106721607184,-8.153841529248174,56,2020-04-01,20,TOTAL
"bin_[21,40]",-0.1235137975203735,1.3161420367843442,-2.703152189617688,2.4561245945769414,56,2020-04-01,20,TOTAL
"bin_[41,60]",-15.224658038560385,1.62062246508397,-18.401078070124967,-12.048238006995804,56,2020-04-01,20,TOTAL
"bin_[-40,-21]",19.956043357145067,3.5580489836140843,12.982267349261463,26.92981936502867,56,2020-04-01,20,DIRECT
"bin_[-60,-41]",13.224324259902275,3.464226608899542,6.4344401064591725,20.01420841334538,56,2020-04-01,20,DIRECT
"bin_[1,20]",-7.922704923407279,0.5666978745127813,-9.03343275745233,-6.811977089362228,56,2020-04-01,20,DIRECT
"bin_[21,40]",1.7180316256252677,0.2805202461473798,1.1682119431764033,2.267851308074132,56,2020-04-01,20,DIRECT
"bin_[41,60]",-12.565410177223578,0.7012474283299234,-13.939855136750229,-11.190965217696927,56,2020-04-01,20,DIRECT
"bin_[-40,-21]",16.741010209340626,1.4162781712008987,13.965104993786865,19.516915424894385,60,2021-03-19,2,TOTAL
"bin_[-60,-41]",21.35158138849223,4.084617066928629,13.34573193731212,29.357430839672343,60,2021-03-19,2,TOTAL
"bin_[1,20]",12.326344669027767,3.6153033742039917,5.240350055587943,19.41233928246759,60,2021-03-19,2,TOTAL
"bin_[21,40]",11.263266791360882,4.564455590612824,2.316933833759748,20.209599748962017,60,2021-03-19,2,TOTAL
"bin_[41,60]",12.93709940683505,4.972611330374323,3.1907811993013784,22.68341761436872,60,2021-03-19,2,TOTAL
"bin_[-40,-21]",6.661085353760909,2.171759913352147,2.404435923590701,10.917734783931117,60,2021-03-19,2,DIRECT
"bin_[-60,-41]",22.291091413180773,2.885640239067833,16.63523654460782,27.946946281753725,60,2021-03-19,2,DIRECT
"bin_[1,20]",9.961976046510557,0.8366647090565499,8.32211321675972,11.601838876261395,60,2021-03-19,2,DIRECT
"bin_[21,40]",9.792871118348675,1.005321939680526,7.822440116574844,11.763302120122505,60,2021-03-19,2,DIRECT
"bin_[41,60]",26.627803033987846,1.1709771598357475,24.33268780070978,28.92291826726591,60,2021-03-19,2,DIRECT
"bin_[-40,-21]",3.5464385316342986,0.9129537681459646,1.7570491460682078,5.3358279172003895,60,2021-03-19,5,TOTAL
"bin_[-60,-41]",8.787562587991236,2.23754391167691,4.401976521104492,13.173148654877979,60,2021-03-19,5,TOTAL
"bin_[1,20]",1.4634631645144458,1.8930234139286224,-2.246862726785654,5.173789055814545,60,2021-03-19,5,TOTAL
"bin_[21,40]",2.527754858909347,1.7845791843353487,-0.9700203423879361,6.025530060206631,60,2021-03-19,5,TOTAL
"bin_[41,60]",7.016078336257534,1.902564737079563,3.2870514515815903,10.745105220933478,60,2021-03-19,5,TOTAL
"bin_[-40,-21]",5.725686837923997,1.2331454892049623,3.3087216790822715,8.142651996765723,60,2021-03-19,5,DIRECT
"bin_[-60,-41]",14.073202960872209,1.8806830585672916,10.387064166080318,17.7593417556641,60,2021-03-19,5,DIRECT
"bin_[1,20]",0.32749290495400535,1.5835611427488758,-2.776286934833791,3.431272744741802,60,2021-03-19,5,DIRECT
"bin_[21,40]",1.822389200914725,1.2403795782511335,-0.6087547724574967,4.253533174286947,60,2021-03-19,5,DIRECT
"bin_[41,60]",9.574138270225625,1.110067906019307,7.398405174427783,11.749871366023466,60,2021-03-19,5,DIRECT
"bin_[-40,-21]",9.123841420478382,0.471441726897381,8.199815635759515,10.047867205197248,60,2021-03-19,10,TOTAL
"bin_[-60,-41]",10.436051917410456,1.2969509785524849,7.8940279994475855,12.978075835373327,60,2021-03-19,10,TOTAL
"bin_[1,20]",-6.069488142843428,1.1223061514474328,-8.269208199680396,-3.8697680860064603,60,2021-03-19,10,TOTAL
"bin_[21,40]",-6.943065518165092,1.3370053027245168,-9.563595911505145,-4.322535124825039,60,2021-03-19,10,TOTAL
"bin_[41,60]",-6.639725928736303,1.4216048237727175,-9.426071383330829,-3.853380474141777,60,2021-03-19,10,TOTAL
"bin_[-40,-21]",7.692081203552511,0.07816729189387345,7.538873311440518,7.845289095664503,60,2021-03-19,10,DIRECT
"bin_[-60,-41]",12.66824626588464,0.10784489364444208,12.456870274341535,12.879622257427746,60,2021-03-19,10,DIRECT
"bin_[1,20]",-7.035144147444425,0.033359963137535864,-7.100529675193996,-6.969758619694855,60,2021-03-19,10,DIRECT
"bin_[21,40]",-7.5431874162047245,0.038541916920192994,-7.618729573368303,-7.467645259041146,60,2021-03-19,10,DIRECT
"bin_[41,60]",-2.58518171339551,0.04341455703705945,-2.6702742451881467,-2.5000891816028736,60,2021-03-19,10,DIRECT
"bin_[-40,-21]",5.40989107402622,0.8082489086686812,3.8257232130356047,6.9940589350168345,60,2021-03-19,20,TOTAL
"bin_[-60,-41]",2.677550784347619,1.280684832861195,0.16740851193967687,5.1876930567555615,60,2021-03-19,20,TOTAL
"bin_[1,20]",-2.492498972445179,1.4256530363329492,-5.286778923657759,0.3017809787674013,60,2021-03-19,20,TOTAL
