path,rows,columns,frequency,date_min,date_max,suggested_join_keys
C:\Users\Owner\Box\Winter26\slr_bucket\data\cip_bloomberg.xlsx,3955,"Date,AUD,CAD,CHF,EUR,GBP,JPY,NZD,SEK,USD",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\daily_long.csv,14,"date,tenor,series,value",daily,2020-03-25,2020-04-03,"date,tenor,series,value"
C:\Users\Owner\Box\Winter26\slr_bucket\data\equity_spot_bloomberg.parquet,3913,"('SPX Index', 'PX_LAST'),('SPX Index', 'IDX_EST_DVD_YLD'),('SPX Index', 'INDX_GROSS_DAILY_DIV'),('NDX Index', 'PX_LAST'),('NDX Index', 'IDX_EST_DVD_YLD'),('NDX Index', 'INDX_GROSS_DAILY_DIV'),('INDU Index', 'PX_LAST'),('INDU Index', 'IDX_EST_DVD_YLD'),('INDU Index', 'INDX_GROSS_DAILY_DIV'),('ES1 Index', 'PX_LAST'),('ES1 Index', 'PX_VOLUME'),('ES1 Index', 'OPEN_INT'),('ES1 Index', 'CURRENT_CONTRACT_MONTH_YR'),('ES2 Index', 'PX_LAST'),('ES2 Index', 'PX_VOLUME'),('ES2 Index', 'OPEN_INT'),('ES2 Index', 'CURRENT_CONTRACT_MONTH_YR'),('ES3 Index', 'PX_LAST'),('ES3 Index', 'PX_VOLUME'),('ES3 Index', 'OPEN_INT'),('ES3 Index', 'CURRENT_CONTRACT_MONTH_YR'),('ES4 Index', 'PX_LAST'),('ES4 Index', 'PX_VOLUME'),('ES4 Index', 'OPEN_INT'),('ES4 Index', 'CURRENT_CONTRACT_MONTH_YR'),('NQ1 Index', 'PX_LAST'),('NQ1 Index', 'PX_VOLUME'),('NQ1 Index', 'OPEN_INT'),('NQ1 Index', 'CURRENT_CONTRACT_MONTH_YR'),('NQ2 Index', 'PX_LAST'),('NQ2 Index', 'PX_VOLUME'),('NQ2 Index', 'OPEN_INT'),('NQ2 Index', 'CURRENT_CONTRACT_MONTH_YR'),('NQ3 Index', 'PX_LAST'),('NQ3 Index', 'PX_VOLUME'),('NQ3 Index', 'OPEN_INT'),('NQ3 Index', 'CURRENT_CONTRACT_MONTH_YR'),('NQ4 Index', 'PX_LAST'),('NQ4 Index', 'PX_VOLUME'),('NQ4 Index', 'OPEN_INT')",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_agg_call_wrds.csv,14,"report_date,total_assets,total_reserves,total_ust,agg_reserves_share,agg_ust_share,agg_exempt_share_min,agg_exempt_share_proxy,agg_ust_asset_cov",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_agg_call_wrds.parquet,14,"report_date,total_assets,total_reserves,total_ust,agg_reserves_share,agg_ust_share,agg_exempt_share_min,agg_exempt_share_proxy,agg_ust_asset_cov",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_proxy_call_wrds.csv,126,"bank_id,report_date,assets,reserves,ust,reserves_share,ust_share,exempt_assets_share_min,exempt_assets_share_proxy",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_proxy_call_wrds.parquet,126,"bank_id,report_date,assets,reserves,ust,reserves_share,ust_share,exempt_assets_share_min,exempt_assets_share_proxy",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_y9c_agg_daily.csv,1097,"date,total_assets,total_reserves,total_ust,n_banks,median_slr,mean_slr,agg_reserves_share,agg_ust_share,agg_exempt_share",daily,2019-01-01,2022-01-01,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_y9c_agg_quarterly.csv,8,"report_date,total_assets,total_reserves,total_ust,n_banks,median_slr,mean_slr,agg_reserves_share,agg_ust_share,agg_exempt_share",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\bank_exposure_y9c_bank_quarterly.csv,2792,"bank_id,report_date,assets,reserves,ust,reserves_share,ust_share,exempt_assets,exempt_assets_share,slr_bps,slr_pct,b488,b489,b491",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\controls_vix_creditspreads_fred.csv,794,"date,VIX,HY_OAS,BAA10Y",daily,2019-01-02,2021-12-31,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\controls_vix_creditspreads_fred.parquet,794,"date,VIX,HY_OAS,BAA10Y",daily,2019-01-02,2021-12-31,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\cusip_pairs_template.csv,4,"tenor,tips_cusip,nominal_cusip",unknown,,,tenor
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\MOVE_template.csv,794,"date,MOVE",daily,2019-01-02,2021-12-31,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\primary_dealer_stats_ofr_stfm_nypd_long.csv,22824,"date,mnemonic,series_name,value",weekly,2019-01-02,2021-12-29,"date,value"
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\primary_dealer_stats_ofr_stfm_nypd_long.parquet,22824,"date,mnemonic,series_name,value",weekly,2019-01-02,2021-12-29,"date,value"
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\repo_rates_combined.csv,784,"date,SOFR,TGCR,BGCR,sofr_minus_tgcr,sofr_minus_bgcr",daily,2019-01-01,2021-12-31,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\repo_rates_combined.parquet,784,"date,SOFR,TGCR,BGCR,sofr_minus_tgcr,sofr_minus_bgcr",daily,2019-01-01,2021-12-31,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\repo_rates_fred.csv,828,"date,SOFR,EFFR,IORB,sofr_minus_iorb,sofr_minus_effr",daily,2019-01-02,2022-01-01,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\repo_rates_fred.parquet,828,"date,SOFR,EFFR,IORB,sofr_minus_iorb,sofr_minus_effr",daily,2019-01-02,2022-01-01,date
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\treasury_issuance_by_tenor_fiscaldata.csv,171,"issue_date,tenor_bucket,issuance_amount,n_issues",unknown,,,
C:\Users\Owner\Box\Winter26\slr_bucket\data\event_inputs\treasury_issuance_by_tenor_fiscaldata.parquet,171,"issue_date,tenor_bucket,issuance_amount,n_issues",unknown,,,
