event,window,tenor,spec,estimate,se,ci_low,ci_high,N
2020-04-01,20,2,TOTAL,,,,,5
2020-04-01,20,2,DIRECT,,,,,5
2020-04-01,20,5,TOTAL,,,,,5
2020-04-01,20,5,DIRECT,,,,,5
2020-04-01,20,10,TOTAL,,,,,5
2020-04-01,20,10,DIRECT,,,,,5
2020-04-01,20,20,TOTAL,,,,,5
2020-04-01,20,20,DIRECT,,,,,5
2020-04-01,60,2,TOTAL,10.339471969773392,4.717024144923448,1.0941046457234336,19.58483929382335,14
2020-04-01,60,2,DIRECT,0.8432745447213161,4.687592061893491,-8.344405896589926,10.030954986032558,14
2020-04-01,60,5,TOTAL,5.214815332600853,2.76760228286269,-0.2096851418100183,10.639315807011725,14
2020-04-01,60,5,DIRECT,5.229927126039611,2.840662323376942,-0.3377710277791959,10.797625279858417,14
2020-04-01,60,10,TOTAL,1.3852880572192472,1.6279067978371504,-1.8054092665415675,4.575985380980062,14
2020-04-01,60,10,DIRECT,4.623290939421732,4.1683019243599055,-3.5465808323236825,12.793162711167147,14
2020-04-01,60,20,TOTAL,1.8082179614825793,1.0608008843191603,-0.270951771782975,3.8873876947481336,14
2020-04-01,60,20,DIRECT,-0.21382520951004125,1.479567339751897,-3.113777195423759,2.6861267764036767,14
2021-03-19,20,2,TOTAL,,,,,6
2021-03-19,20,2,DIRECT,,,,,6
2021-03-19,20,5,TOTAL,,,,,6
2021-03-19,20,5,DIRECT,,,,,6
2021-03-19,20,10,TOTAL,,,,,6
2021-03-19,20,10,DIRECT,,,,,6
2021-03-19,20,20,TOTAL,,,,,6
2021-03-19,20,20,DIRECT,,,,,6
2021-03-19,60,2,TOTAL,3.0831072245966844,3.218962055896458,-3.226058404960373,9.392272854153742,15
2021-03-19,60,2,DIRECT,10.427689968391071,1.192871537004311,8.089661755862622,12.76571818091952,15
2021-03-19,60,5,TOTAL,-1.5547094890472013,1.1506866594582728,-3.8100553415854157,0.7006363634910131,15
2021-03-19,60,5,DIRECT,0.6425544699334258,0.7836202917955467,-0.8933413019858458,2.1784502418526976,15
2021-03-19,60,10,TOTAL,-10.633280622581555,1.4776846840073827,-13.529542603236026,-7.737018641927085,15
2021-03-19,60,10,DIRECT,-6.704316567509499,0.7964550590711683,-8.26536848328899,-5.14326465173001,15
2021-03-19,60,20,TOTAL,-5.7466039431060505,1.9797746299049743,-9.6269622177198,-1.8662456684923008,15
2021-03-19,60,20,DIRECT,-4.801204920349807,1.0228157151823074,-6.80592372210713,-2.796486118592485,15
2021-03-31,20,2,TOTAL,,,,,4
2021-03-31,20,2,DIRECT,,,,,4
2021-03-31,20,5,TOTAL,,,,,4
2021-03-31,20,5,DIRECT,,,,,4
2021-03-31,20,10,TOTAL,,,,,4
2021-03-31,20,10,DIRECT,,,,,4
2021-03-31,20,20,TOTAL,,,,,4
2021-03-31,20,20,DIRECT,,,,,4
2021-03-31,60,2,TOTAL,5.866701269983408,5.378462662409813,-4.675085548339825,16.40848808830664,14
2021-03-31,60,2,DIRECT,-1.2710238765509185,2.970104962397006,-7.092429602849051,4.550381849747214,14
2021-03-31,60,5,TOTAL,-3.590617442194511,2.428002212987767,-8.349501779650534,1.168266895261512,14
2021-03-31,60,5,DIRECT,-5.678340224414064,1.4524216940090275,-8.525086744671757,-2.83159370415637,14
2021-03-31,60,10,TOTAL,-0.8309854118429145,4.515565305247389,-9.681493410127796,8.019522586441969,14
2021-03-31,60,10,DIRECT,-2.161864110556567,1.1498282439307987,-4.415527468660933,0.09179924754779867,14
2021-03-31,60,20,TOTAL,3.6221859612326393,2.3731442332178254,-1.029176735874299,8.273548658339578,14
2021-03-31,60,20,DIRECT,4.4183142416643975,1.226973778683456,2.013445635444824,6.823182847883971,14
