bin,bin_mid,estimate,se,ci_low,ci_high,nobs,event,strategy,spec
"bin_[-60,-41]",-50.5,-5021.26281140661,2003.6809641932407,-8948.477501225361,-1094.0481215878585,104,2020-04-01,cip,TOTAL
"bin_[-40,-21]",-30.5,-3599.996546349866,2799.607546004745,-9087.227336519167,1887.2342438194341,104,2020-04-01,cip,TOTAL
"bin_[0,0]",0.0,1.6347110752088972e-11,1.1616019808824499e-11,-6.420288073207045e-12,3.9114509577384986e-11,104,2020-04-01,cip,TOTAL
"bin_[1,20]",10.5,-4471.8966545923595,2288.101734641406,-8956.576054489515,12.782745304795753,104,2020-04-01,cip,TOTAL
"bin_[21,40]",30.5,-3448.3587603464416,2507.2010446181644,-8362.472807798044,1465.7552871051607,104,2020-04-01,cip,TOTAL
"bin_[41,60]",50.5,-2802.1253728514876,1561.7039509629974,-5863.065116738962,258.8143710359873,104,2020-04-01,cip,TOTAL
"bin_[-60,-41]",-50.5,-148747.52451605216,235682.9681356353,-610686.1420618973,313191.09302979306,104,2020-04-01,cip,DIRECT
"bin_[-40,-21]",-30.5,-133449.12062746374,207274.9244495479,-539707.9725485776,272809.7312936501,104,2020-04-01,cip,DIRECT
"bin_[0,0]",0.0,-4.778837215794646e-08,8.996337288309159e-08,-2.2411658300880598e-07,1.2853983869291303e-07,104,2020-04-01,cip,DIRECT
"bin_[1,20]",10.5,-46380.957883793446,90571.3060882856,-223900.7178168332,131138.8020492463,104,2020-04-01,cip,DIRECT
"bin_[21,40]",30.5,-18739.14010742102,38500.22414255551,-94199.57942682982,56721.29921198779,104,2020-04-01,cip,DIRECT
"bin_[41,60]",50.5,7194.514367953483,20911.179810396887,-33791.39806042441,48180.426796331376,104,2020-04-01,cip,DIRECT
"bin_[-60,-41]",-50.5,51.19171289539207,38.40807943015704,-24.08812278771572,126.47154857849986,42,2020-04-01,eq_spot_fut,TOTAL
"bin_[-40,-21]",-30.5,45.57301038206023,30.305789919061127,-13.826337859299578,104.97235862342004,42,2020-04-01,eq_spot_fut,TOTAL
"bin_[0,0]",0.0,-5.486901847580858e-13,2.4945358429469685e-13,-1.0376192099756917e-12,-5.976115954047995e-14,42,2020-04-01,eq_spot_fut,TOTAL
"bin_[1,20]",10.5,-50.0309332556285,19.799217170774757,-88.83739891034702,-11.224467600909975,42,2020-04-01,eq_spot_fut,TOTAL
