event,spec,term,estimate,se
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",1208.3967849182045,518.4978424479143
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",594.7446401685485,419.0240805819568
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-3591.597962558438,958.799429451491
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",9.710818341759702e-14,4.679155013245684e-14
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-134.7370329262005,425.36221333546484
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",985.9793839458157,450.9280878470687
2020-04-01,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",322.73498899668834,413.5562248577236
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",1223.8282802442823,521.1796580350275
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",610.1761354953961,424.548158145462
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-3576.1664672321003,955.1064275709908
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",-2.2612211369247502e-13,8.232958157423308e-14
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-177.5852084068497,418.6740200946337
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",820.4255240354988,450.928372135379
2020-04-01,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",350.26904732861453,416.01170670282744
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",-1076.438951062609,172.33131808122099
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",-809.6049734627842,118.84946346962373
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-659.0364812802661,123.1757661719409
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",-2.679098772195617e-13,2.9385386871230586e-14
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-233.799642026061,98.54936038293091
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",-92.69338483120478,127.56288968947085
2021-03-19,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",9.026216418130446,109.22002762171611
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",-1077.5602334573182,169.95897681813486
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",-810.7262558574735,119.32467102538115
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-660.1577636749698,122.24964835192941
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",-7.951296445714809e-14,3.1802080344262066e-14
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-234.92092442074573,96.79650122511475
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",-127.5268583855223,128.69254341103775
2021-03-19,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",41.60074311224252,106.42247490881063
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",-930.1919060942967,122.4119516855362
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",-633.6196947290352,99.5519418908162
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-577.3285312998559,84.48082170492044
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",-182.70281026488772,128.56138539121847
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-64.43572327382562,116.51322150400439
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",-56.85872867015695,81.5406568854596
2021-03-31,TOTAL,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",-3.417514176967966,105.19134715784494
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-60,-41]]:treasury_based",-930.1155686008823,121.66829797471641
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-40,-21]]:treasury_based",-632.1223950361307,99.25768718064134
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[-20,-1]]:treasury_based",-577.49616316114,84.78263758255711
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[0,0]]:treasury_based",-182.87044212615996,128.34615604712283
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[1,20]]:treasury_based",-64.60335513514345,116.39395289501653
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[21,40]]:treasury_based",-57.02636053147742,81.38228106300717
2021-03-31,DIRECT,"C(bin, Treatment(reference='bin_[-20,-1]'))[bin_[41,60]]:treasury_based",-4.761139512459173,105.63954575029446
