event,strategy,spec,ref_bin,bin,bin_mid,estimate,se,ci_low,ci_high,nobs
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-1.208114931150764,5.053899883176842,-11.113758702177375,8.697528839875847,968
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-5.670274558193004,4.09233774886999,-13.691256545978183,2.350707429592175,968
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-21.55918917651458,7.856175943310909,-36.95729402540396,-6.161084327625197,968
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-19.902904685767396,7.372577253579679,-34.353156102783565,-5.4526532687512255,968
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-28.02076946464087,7.153490096124187,-42.04161005304428,-13.999928876237464,968
2020-04-01,cip,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-21.40325645426366,4.343093127665908,-29.915718984488837,-12.89079392403848,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-4.4268840259147275,5.065829214507147,-14.355909286348735,5.50214123451928,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-3.727138846266617,4.867196756147591,-13.266844488315893,5.8125667957826606,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,-21.68300437095651,8.421399188898807,-38.18894678119817,-5.177061960714848,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,-21.875551592696112,9.217022153316346,-39.94091501319615,-3.8101881721960744,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,-34.75140665065033,8.924164067356646,-52.242768222669355,-17.260045078631304,968
2020-04-01,cip,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,-33.071282062909695,7.790330714587643,-48.34033026350148,-17.802233862317912,968
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,34.1066933734804,13.472971170005234,7.6996698802701395,60.51371686669066,363
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,28.57812360057254,12.21200921858022,4.642585532155305,52.51366166898977,363
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,57.95002297176847,18.848116976671452,21.00771369749242,94.89233224604452,363
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,16.99061309850315,10.226816961435842,-3.0539481459111,37.0351743429174,363
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-15.271455384774871,11.29483199195321,-37.40932608900316,6.86641531945342,363
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-10.982724893809602,9.388534430148649,-29.384252376900953,7.418802589281752,363
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,35.50976243894748,13.930128605267663,8.206710372622862,62.8128145052721,363
