event,window_td,strategy,spec,coef_post,se_post,N,N_dates
2020-04-01,20,cip,TOTAL,-21.91151989657768,10.882873959127958,32,32
2020-04-01,20,cip,DIRECT,-0.9115724823365339,0.35056703664974487,32,32
2020-04-01,20,eq_spot_fut,TOTAL,-35.525850512284265,57.99224988493672,15,15
2020-04-01,20,eq_spot_fut,DIRECT,1.8807897227034587,0.2722927445069923,15,15
2020-04-01,20,tips_treas,TOTAL,13.102416316105632,17.470979698119745,15,15
2020-04-01,20,tips_treas,DIRECT,0.23537947578791016,0.1513706402191379,15,15
2020-04-01,20,ust_spot_fut,TOTAL,-6030.996423761431,3012.460361885995,15,15
2020-04-01,20,ust_spot_fut,DIRECT,50.08224757647697,23.344478227866553,15,15
2020-04-01,60,cip,TOTAL,-7.49542514018829,5.306243166720771,104,104
2020-04-01,60,cip,DIRECT,-21.842386055206383,11.836031620588065,104,104
2020-04-01,60,eq_spot_fut,TOTAL,-45.90863504024049,10.893928988674897,42,42
2020-04-01,60,eq_spot_fut,DIRECT,-93.80410819143808,22.16699275228866,42,42
2020-04-01,60,tips_treas,TOTAL,5.6837512314657745,2.965552722144428,42,42
2020-04-01,60,tips_treas,DIRECT,-0.29332513092332846,6.396105408999529,42,42
2020-04-01,60,ust_spot_fut,TOTAL,-580.1658951113312,400.48650701210755,42,42
2020-04-01,60,ust_spot_fut,DIRECT,-1008.3896130655419,855.2742894074438,42,42
2021-03-19,20,cip,TOTAL,0.46961413252661655,0.7305811501661316,48,48
2021-03-19,20,cip,DIRECT,0.03786139578445713,0.7055334974565889,48,48
2021-03-19,20,eq_spot_fut,TOTAL,2.147035529918985,1.7288930792268682,18,18
2021-03-19,20,eq_spot_fut,DIRECT,-2.109906989837839,0.9022086371400994,18,18
2021-03-19,20,tips_treas,TOTAL,-3.4290509031560177,3.2728067030404233,18,18
2021-03-19,20,tips_treas,DIRECT,-1.8741047175026884,2.280421027823657,18,18
2021-03-19,20,ust_spot_fut,TOTAL,502.2610854909815,56.3091325950282,18,18
2021-03-19,20,ust_spot_fut,DIRECT,805.1019279314646,75.59231583255183,18,18
2021-03-19,60,cip,TOTAL,-1.6612820362105891,1.2362453237237359,120,120
2021-03-19,60,cip,DIRECT,-1.2698187731331476,1.6370348187192065,120,120
2021-03-19,60,eq_spot_fut,TOTAL,4.362696865513957,2.5825014407493914,48,48
2021-03-19,60,eq_spot_fut,DIRECT,3.295187499185001,2.409790328015,48,48
2021-03-19,60,tips_treas,TOTAL,-6.327216936574158,2.9308696069556346,45,45
2021-03-19,60,tips_treas,DIRECT,-7.043361601270633,4.076495443569253,45,45
2021-03-19,60,ust_spot_fut,TOTAL,32.05791941186098,148.50037435679673,45,45
2021-03-19,60,ust_spot_fut,DIRECT,-89.61954831908668,246.51115707207327,45,45
2021-03-31,20,cip,TOTAL,-0.2641876335232993,0.40704870197097087,32,32
2021-03-31,20,cip,DIRECT,-0.25710637091891897,0.3909951624689015,32,32
2021-03-31,20,eq_spot_fut,TOTAL,0.5011464861665829,1.4121267042629682,12,12
2021-03-31,20,eq_spot_fut,DIRECT,0.39849638817604216,1.374098409224015,12,12
2021-03-31,20,tips_treas,TOTAL,0.37552302730060205,1.0168964814260844,12,12
2021-03-31,20,tips_treas,DIRECT,0.2941285184328528,0.978380582793588,12,12
2021-03-31,20,ust_spot_fut,TOTAL,651.8253986781974,160.23225570644496,12,12
2021-03-31,20,ust_spot_fut,DIRECT,657.5918169939005,156.46350433535093,12,12
2021-03-31,60,cip,TOTAL,-0.2718631285928401,1.4556699792176497,112,112
2021-03-31,60,cip,DIRECT,1.8241258646786773,1.0903193486279312,112,112
2021-03-31,60,eq_spot_fut,TOTAL,2.8798873978270763,1.8501161773210963,48,48
2021-03-31,60,eq_spot_fut,DIRECT,1.444608848464032,1.8218926118499519,48,48
2021-03-31,60,tips_treas,TOTAL,-3.7144048773073854,3.563279827709234,42,42
2021-03-31,60,tips_treas,DIRECT,-1.7100762493426798,2.0764286839790014,42,42
2021-03-31,60,ust_spot_fut,TOTAL,375.4866623780843,292.8026641870887,42,42
2021-03-31,60,ust_spot_fut,DIRECT,426.47065245888365,307.8878720932762,42,42
