event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-77.43887072855273,82.081415330853,230
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,-104.75936829040114,69.60672920749037,230
2020-04-01,DIRECT,"[-60,+60] trading days",post,-167.3072255281241,165.65794200631436,230
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,-106.09773141453908,70.41797012730683,230
2021-03-19,TOTAL,"[-60,+60] trading days",post,-64.47763842334325,37.96940151593227,258
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,194.65615792320864,73.25052674347849,258
2021-03-19,DIRECT,"[-60,+60] trading days",post,-87.5699173991651,53.45501480337002,258
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,195.9440471621441,72.88203494258526,258
2021-03-31,TOTAL,"[-60,+60] trading days",post,-24.45709552315366,51.2073672270037,244
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,264.97004561707547,85.47768637979104,244
2021-03-31,DIRECT,"[-60,+60] trading days",post,-25.82162564476792,51.438355562509656,244
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,263.88672377136686,85.20858204516445,244
