event,window_td,strategy,spec,coef_post,se_post,N,N_dates
2020-04-01,20,cip,TOTAL,-2191.1519896577674,1088.2873959128062,32,32
2020-04-01,20,cip,DIRECT,-91.15724823365343,35.056703664975515,32,32
2020-04-01,20,eq_spot_fut,TOTAL,-35.5258505122847,54.88954488438167,15,15
2020-04-01,20,eq_spot_fut,DIRECT,1.8807897227034542,0.326260751971408,15,15
2020-04-01,20,tips_treas,TOTAL,13.102416316105632,17.470979698119745,15,15
2020-04-01,20,tips_treas,DIRECT,0.23537947578791016,0.1513706402191379,15,15
2020-04-01,20,ust_spot_fut,TOTAL,-6030.996423761431,3012.460361885995,15,15
2020-04-01,20,ust_spot_fut,DIRECT,50.08224757647697,23.344478227866553,15,15
2020-04-01,60,cip,TOTAL,-749.542514018829,530.6243166720834,104,104
2020-04-01,60,cip,DIRECT,-2184.238605520639,1183.6031620652016,104,104
2020-04-01,60,eq_spot_fut,TOTAL,-45.90863504024051,10.955529586146268,42,42
2020-04-01,60,eq_spot_fut,DIRECT,-93.80410819143805,22.210319110150085,42,42
2020-04-01,60,tips_treas,TOTAL,5.6837512314657745,2.965552722144428,42,42
2020-04-01,60,tips_treas,DIRECT,-0.29332513092332846,6.396105408999529,42,42
2020-04-01,60,ust_spot_fut,TOTAL,-580.1658951113312,400.48650701210755,42,42
2020-04-01,60,ust_spot_fut,DIRECT,-1008.3896130655419,855.2742894074438,42,42
2021-03-19,20,cip,TOTAL,46.96141325266143,73.05811501661428,48,48
2021-03-19,20,cip,DIRECT,3.786139578445841,70.5533497456536,48,48
2021-03-19,20,eq_spot_fut,TOTAL,2.1470355299190222,1.52506312013854,18,18
2021-03-19,20,eq_spot_fut,DIRECT,-2.1099069898377962,1.1691666009907196,18,18
2021-03-19,20,tips_treas,TOTAL,-3.4290509031560177,3.2728067030404233,18,18
2021-03-19,20,tips_treas,DIRECT,-1.8741047175026884,2.280421027823657,18,18
2021-03-19,20,ust_spot_fut,TOTAL,502.2610854909815,56.3091325950282,18,18
2021-03-19,20,ust_spot_fut,DIRECT,805.1019279314646,75.59231583255183,18,18
2021-03-19,60,cip,TOTAL,-166.12820362105893,123.62453237200012,120,120
2021-03-19,60,cip,DIRECT,-126.98187731331484,163.7034818716498,120,120
2021-03-19,60,eq_spot_fut,TOTAL,4.362696865514103,2.5481935811579524,48,48
2021-03-19,60,eq_spot_fut,DIRECT,3.2951874991850527,2.2171874103994518,48,48
2021-03-19,60,tips_treas,TOTAL,-6.327216936574158,2.9308696069556346,45,45
2021-03-19,60,tips_treas,DIRECT,-7.043361601270633,4.076495443569253,45,45
2021-03-19,60,ust_spot_fut,TOTAL,32.05791941186098,148.50037435679673,45,45
2021-03-19,60,ust_spot_fut,DIRECT,-89.61954831908668,246.51115707207327,45,45
2021-03-31,20,cip,TOTAL,-26.41876335233019,40.70487019710021,32,32
2021-03-31,20,cip,DIRECT,-25.710637091892067,39.09951624688564,32,32
2021-03-31,20,eq_spot_fut,TOTAL,0.5011464861665829,1.352322702677801,12,12
2021-03-31,20,eq_spot_fut,DIRECT,0.39849638817603505,1.3205712814946564,12,12
2021-03-31,20,tips_treas,TOTAL,0.37552302730060205,1.0168964814260844,12,12
2021-03-31,20,tips_treas,DIRECT,0.2941285184328528,0.978380582793588,12,12
2021-03-31,20,ust_spot_fut,TOTAL,651.8253986781974,160.23225570644496,12,12
2021-03-31,20,ust_spot_fut,DIRECT,657.5918169939005,156.46350433535093,12,12
2021-03-31,60,cip,TOTAL,-27.186312859284214,145.56699792104448,112,112
2021-03-31,60,cip,DIRECT,182.4125864678676,109.03193486158496,112,112
2021-03-31,60,eq_spot_fut,TOTAL,2.8798873978273285,1.9669165677717453,48,48
2021-03-31,60,eq_spot_fut,DIRECT,1.4446088484640924,1.8253655679712273,48,48
2021-03-31,60,tips_treas,TOTAL,-3.7144048773073854,3.563279827709234,42,42
2021-03-31,60,tips_treas,DIRECT,-1.7100762493426798,2.0764286839790014,42,42
2021-03-31,60,ust_spot_fut,TOTAL,375.4866623780843,292.8026641870887,42,42
2021-03-31,60,ust_spot_fut,DIRECT,426.47065245888365,307.8878720932762,42,42
