event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-898.5075895586779,410.6036280480829,230
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,1200.3023459373244,530.2383439272784,230
2020-04-01,DIRECT,"[-60,+60] trading days",post,-1658.1444437133416,801.1714911447455,230
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,1187.4110568030787,530.8206131319331,230
2021-03-19,TOTAL,"[-60,+60] trading days",post,-329.3766316637473,93.23157613341017,258
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,705.8639361388584,119.5970600648998,258
2021-03-19,DIRECT,"[-60,+60] trading days",post,-294.5339336324363,116.30919310648608,258
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,713.4821987244555,118.70708716968197,258
2021-03-31,TOTAL,"[-60,+60] trading days",post,-197.92352664447614,104.41547617327419,244
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,667.2647830913387,109.96849994177136,244
2021-03-31,DIRECT,"[-60,+60] trading days",post,-180.95698286764537,103.26532336613938,244
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,665.2746681611618,109.53507510563256,244
