event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-62.64521713575718,4.113141326129814,14
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.3858077115626541e-13,6.846609345179463e-14,14
2020-04-01,DIRECT,"[-60,+60] trading days",post,-86.14033723142971,12.661647467820165,14
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,2.2416942558324383e-12,2.6554633583507506e-12,14
2021-03-19,TOTAL,"[-60,+60] trading days",post,-0.4118515182761726,4.834652329172357,16
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.1863366656876658e-12,5.167432584990543e-13,16
2021-03-19,DIRECT,"[-60,+60] trading days",post,-1.045415928958482,1.760158467968568,16
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,9.439463407498797e-13,1.7987234830695186e-13,16
2021-03-31,TOTAL,"[-60,+60] trading days",post,1.338559512542684,2.0751153810793985,16
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,1.086431980665888e-12,5.365896116651605e-13,16
2021-03-31,DIRECT,"[-60,+60] trading days",post,0.4469104275557285,2.5765087288973123,16
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,1.0215878846661389e-12,4.071817345106285e-13,16
