event,window_td,strategy,spec,coef_post,se_post,N,N_dates
2020-04-01,20,eq_spot_fut,TOTAL,-5.261343629848966,6.8733812512403556e-12,5,5
2020-04-01,20,eq_spot_fut,DIRECT,0.4808900406792551,1.2838423347797594e-15,5,5
2020-04-01,60,eq_spot_fut,TOTAL,-29.56685908962875,12.137533136841064,14,14
2020-04-01,60,eq_spot_fut,DIRECT,-68.69730460939735,14.975746616158833,14,14
2021-03-19,20,eq_spot_fut,TOTAL,6.501960088287326,3.405208006619039e-13,6,6
2021-03-19,20,eq_spot_fut,DIRECT,-0.9106880198543763,5.178445586815613e-13,6,6
2021-03-19,60,eq_spot_fut,TOTAL,8.358843593964991,3.346604877726975,16,16
2021-03-19,60,eq_spot_fut,DIRECT,8.98137509330288,1.4513931386410945,16,16
2021-03-31,20,eq_spot_fut,TOTAL,-4.055965147416806,2.358930318307914e-14,4,4
2021-03-31,20,eq_spot_fut,DIRECT,-3.954259090805568,8.082318229512951e-14,4,4
2021-03-31,60,eq_spot_fut,TOTAL,2.8632107971454452,3.9513134789810773,16,16
2021-03-31,60,eq_spot_fut,DIRECT,0.7839880679628166,2.424162311834696,16,16
