event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-29.56685908962881,12.13753313684187,14
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,1.6119459075863613e-13,7.160040345071376e-14,14
2020-04-01,DIRECT,"[-60,+60] trading days",post,-68.69730460940046,14.975746616078021,14
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,5.80815587801684e-12,3.085652023235693e-12,14
2021-03-19,TOTAL,"[-60,+60] trading days",post,8.35884359396492,3.346604877725647,16
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.5692604082206756e-13,3.548616175864054e-13,16
2021-03-19,DIRECT,"[-60,+60] trading days",post,8.981375093302795,1.4513931386374141,16
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,-4.401939714823549e-13,1.611008645992858e-13,16
2021-03-31,TOTAL,"[-60,+60] trading days",post,2.8632107971454914,3.9513134789685562,16
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.9170534642431747e-13,3.9197459333681947e-13,16
2021-03-31,DIRECT,"[-60,+60] trading days",post,0.7839880679628983,2.424162311847807,16
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,2.8491397610387184e-13,1.8934389649490077e-13,16
