event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-45.513828895335465,8.884092426531154,14
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,5.350992383135288e-14,3.406065335338569e-14,14
2020-04-01,DIRECT,"[-60,+60] trading days",post,-126.57468273349019,8.995882491065505,14
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,1.1890248801536115e-11,1.4208870353026118e-12,14
2021-03-19,TOTAL,"[-60,+60] trading days",post,5.141098520853166,1.3653405061526345,16
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,9.676981727018347e-15,1.7544391618940067e-13,16
2021-03-19,DIRECT,"[-60,+60] trading days",post,1.9496033332100886,1.4332589083698117,16
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,6.578377161158983e-14,1.0891452597074353e-13,16
2021-03-31,TOTAL,"[-60,+60] trading days",post,4.437891883793615,1.3925003804747795,16
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,-4.77999118211498e-13,2.233293516700142e-13,16
2021-03-31,DIRECT,"[-60,+60] trading days",post,3.1029280498743006,1.3087128283814098,16
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,-2.2638087977080113e-13,2.1393262064770278e-13,16
