event,window,tenor,spec,estimate,se,ci_low,ci_high,N
2020-04-01,20,2,TOTAL,-14.698199761140481,4.019977799270592e-13,-14.69819976114127,-14.698199761139692,20
2020-04-01,20,2,DIRECT,-14.561544049558096,6.618889709608678e-13,-14.561544049559393,-14.5615440495568,20
2020-04-01,20,5,TOTAL,4.039212960779845,1.6909489794381526e-13,4.039212960779514,4.039212960780176,20
2020-04-01,20,5,DIRECT,-3.779388600956922,6.720627335035689e-14,-3.779388600957054,-3.77938860095679,20
2020-04-01,20,10,TOTAL,51.44617574379513,4.0511665199838953e-13,51.446175743794335,51.446175743795926,20
2020-04-01,20,10,DIRECT,23.893009439603958,1.7674251747757829e-12,23.893009439600494,23.89300943960742,20
2020-04-01,20,20,TOTAL,-0.4381847452983984,1.0575746059009855e-12,-0.43818474530047125,-0.43818474529632556,20
2020-04-01,20,20,DIRECT,4.040041143889407,2.354778782778896e-13,4.040041143888945,4.0400411438898685,20
2020-04-01,60,2,TOTAL,10.339471969773282,4.438539425211279,1.639934696359175,19.039009243187387,56
2020-04-01,60,2,DIRECT,0.8432745447210829,5.626551197864794,-10.184765803093912,11.871314892536079,56
2020-04-01,60,5,TOTAL,5.2148153326007725,2.732847679791843,-0.14156611979123923,10.571196784992784,56
2020-04-01,60,5,DIRECT,5.22992712603967,3.241709445293033,-1.1238233867346743,11.583677638814015,56
2020-04-01,60,10,TOTAL,1.385288057219199,2.1699356853325913,-2.8677858860326797,5.638362000471078,56
2020-04-01,60,10,DIRECT,4.623290939421684,5.297453831246005,-5.759718569820485,15.006300448663854,56
2020-04-01,60,20,TOTAL,1.8082179614825682,1.0965310486784168,-0.34098289392712866,3.957418816892265,56
2020-04-01,60,20,DIRECT,-0.21382520950987072,1.8146951527810817,-3.7706277089607907,3.3429772899410493,56
2021-03-19,20,2,TOTAL,10.6729860882277,1.7890531780975749e-13,10.67298608822735,10.67298608822805,24
2021-03-19,20,2,DIRECT,10.671660201893319,1.6565156813760627e-13,10.671660201892994,10.671660201893644,24
2021-03-19,20,5,TOTAL,-0.0494884284665709,1.9569684195066647e-13,-0.04948842846695447,-0.04948842846618733,24
2021-03-19,20,5,DIRECT,-0.05327788757685163,1.769679955842617e-13,-0.053277887577198486,-0.05327788757650478,24
2021-03-19,20,10,TOTAL,-5.936858129503143,1.4305860654502201e-13,-5.936858129503424,-5.936858129502863,24
2021-03-19,20,10,DIRECT,-5.935652967369192,1.273523051949639e-13,-5.935652967369442,-5.935652967368942,24
2021-03-19,20,20,TOTAL,-2.166006605350882,2.483910012938083e-13,-2.166006605351369,-2.1660066053503955,24
2021-03-19,20,20,DIRECT,-2.1623331222983526,2.5360482466188196e-13,-2.1623331222988496,-2.1623331222978557,24
2021-03-19,60,2,TOTAL,3.0831072245964277,4.124769282660084,-5.001440569417338,11.167655018610194,60
2021-03-19,60,2,DIRECT,10.4276899683911,1.438790207829001,7.6076611610462574,13.247718775735942,60
2021-03-19,60,5,TOTAL,-1.5547094890473028,1.21720611402115,-3.940433472528757,0.8310144944341513,60
2021-03-19,60,5,DIRECT,0.6425544699334289,1.2756225338141496,-1.8576656963423044,3.142774636209162,60
2021-03-19,60,10,TOTAL,-10.633280622581708,1.9496662260357838,-14.454626425611844,-6.811934819551572,60
2021-03-19,60,10,DIRECT,-6.704316567509496,0.7441770153780439,-8.162903517650461,-5.2457296173685295,60
2021-03-19,60,20,TOTAL,-5.746603943106097,2.387937461113522,-10.4269613668886,-1.0662465193235935,60
2021-03-19,60,20,DIRECT,-4.801204920349798,1.4995177119555994,-7.740259635782773,-1.8621502049168237,60
2021-03-31,20,2,TOTAL,-0.15449663954283926,4.440955369270905e-14,-0.1544966395429263,-0.15449663954275222,16
2021-03-31,20,2,DIRECT,-0.15446614889234436,4.5556623442700985e-15,-0.1544661488923533,-0.15446614889233543,16
2021-03-31,20,5,TOTAL,-3.482595921405367,1.1772554993116766e-14,-3.48259592140539,-3.482595921405344,16
2021-03-31,20,5,DIRECT,-3.48259634576337,5.17465839575203e-14,-3.482596345763471,-3.4825963457632687,16
2021-03-31,20,10,TOTAL,1.241096762441324,1.9414577827979724e-14,1.241096762441286,1.241096762441362,16
2021-03-31,20,10,DIRECT,1.2410724415523777,9.12118026443566e-15,1.2410724415523597,1.2410724415523957,16
2021-03-31,20,20,TOTAL,4.036453119276173,3.7619568312383457e-14,4.036453119276099,4.0364531192762465,16
2021-03-31,20,20,DIRECT,4.036437842058342,3.765795106364271e-14,4.036437842058269,4.036437842058416,16
2021-03-31,60,2,TOTAL,5.866701269983585,5.1786663348532755,-4.283484746328835,16.016887286296004,56
2021-03-31,60,2,DIRECT,-1.271023876551027,3.648641513095877,-8.422361242218946,5.880313489116892,56
2021-03-31,60,5,TOTAL,-3.5906174421944517,2.4934888539520497,-8.477855595940468,1.296620711551566,56
2021-03-31,60,5,DIRECT,-5.67834022441413,1.7869320049184938,-9.180726954054379,-2.1759534947738826,56
2021-03-31,60,10,TOTAL,-0.8309854118427791,4.443235667053084,-9.539727319266824,7.8777564955812664,56
2021-03-31,60,10,DIRECT,-2.1618641105566034,2.0261094791382916,-6.133038689667655,1.809310468554448,56
2021-03-31,60,20,TOTAL,3.622185961232706,2.299490459884935,-0.8848153401417669,8.129187262607179,56
2021-03-31,60,20,DIRECT,4.41831424166438,1.5494912639092668,1.3813113644022166,7.455317118926542,56
