event,window_td,strategy,spec,coef_post,se_post,N,N_dates
2020-04-01,20,tips_treas,TOTAL,13.102416316105632,17.470979698119745,15,15
2020-04-01,20,tips_treas,DIRECT,0.23537947578791016,0.1513706402191379,15,15
2020-04-01,60,tips_treas,TOTAL,5.6837512314657745,2.965552722144428,42,42
2020-04-01,60,tips_treas,DIRECT,-0.29332513092332846,6.396105408999529,42,42
2021-03-19,20,tips_treas,TOTAL,-3.4290509031560177,3.2728067030404233,18,18
2021-03-19,20,tips_treas,DIRECT,-1.8741047175026884,2.280421027823657,18,18
2021-03-19,60,tips_treas,TOTAL,-6.327216936574158,2.9308696069556346,45,45
2021-03-19,60,tips_treas,DIRECT,-7.043361601270633,4.076495443569253,45,45
2021-03-31,20,tips_treas,TOTAL,0.37552302730060205,1.0168964814260844,12,12
2021-03-31,20,tips_treas,DIRECT,0.2941285184328528,0.978380582793588,12,12
2021-03-31,60,tips_treas,TOTAL,-3.7144048773073854,3.563279827709234,42,42
2021-03-31,60,tips_treas,DIRECT,-1.7100762493426798,2.0764286839790014,42,42
