event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,2.841875615732898,1.4827763610730247,42
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,2.841875615732891,1.4827763610730156,42
2020-04-01,DIRECT,"[-60,+60] trading days",post,-0.1466625654617193,3.198052704505429,42
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,-0.14666256546155587,3.1980527045081355,42
2021-03-19,TOTAL,"[-60,+60] trading days",post,-3.163608468287215,1.4654348034820366,45
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,-3.1636084682869123,1.4654348034802542,45
2021-03-19,DIRECT,"[-60,+60] trading days",post,-3.5216808006351727,2.038247721783163,45
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,-3.521680800635582,2.0382477217847805,45
2021-03-31,TOTAL,"[-60,+60] trading days",post,-1.8572024386538,1.7816399138584122,42
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.8572024386535797,1.7816399138543388,42
2021-03-31,DIRECT,"[-60,+60] trading days",post,-0.8550381246713419,1.0382143419936145,42
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,-0.8550381246713465,1.0382143420020304,42
