event,strategy,spec,ref_bin,bin,bin_mid,estimate,se,ci_low,ci_high,nobs
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-1671.4014997927916,701.3853153176107,-3046.116717815308,-296.6862817702747,363
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-1999.5631526626787,662.6887642670707,-3298.4331306261374,-700.6931746992202,363
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-632.2252793479615,719.1357460497344,-2041.731341605441,777.2807829095179,363
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-391.0974046567543,354.960443332797,-1086.8198735890364,304.62506427552785,363
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-172.7220887732981,437.6207173360489,-1030.458694751954,685.0145172053578,363
2020-04-01,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-1538.9817508019414,473.02404635631444,-2466.108881660318,-611.8546199435651,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-2448.564905957516,761.6621634906786,-3941.4227463992465,-955.7070655157861,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-3159.7617895833164,727.5566532873195,-4585.7728300264625,-1733.7507491401702,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,71.02487857248713,685.1422694120994,-1271.8539694752276,1413.9037266202017,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,1108.668415171031,543.2243439689006,43.94870099198579,2173.3881293500763,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,1631.4278829711534,595.337391217663,464.56659618453386,2798.289169757773,363
2020-04-01,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,1365.1552328152393,679.2023492225728,33.91862833899654,2696.3918372914823,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,454.7126275946217,142.2244002736448,175.95280305827794,733.4724521309655,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,26.81749241863789,71.49754702279249,-113.31769974603537,166.95268458331117,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-187.7832852738465,156.24130924305038,-494.01625139022525,118.44968084253225,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,430.96944181154294,132.0812021461041,172.0902856051789,689.848598017907,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,286.86531765846445,152.17985072448127,-11.40718976151885,585.1378250784478,363
2021-03-19,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,195.61702091242086,153.65786702354598,-105.55239845372927,496.786440278571,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,572.4575744681391,228.00936264525066,125.55922368344784,1019.3559252528304,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,82.79817041882649,103.08762336260462,-119.25357137187856,284.84991220953157,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,-225.93596018332903,162.00474761824466,-543.4652655150885,91.5933451484305,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,374.5481101818128,122.47816531940043,134.49090615578794,614.6053142078376,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,222.45794743337888,141.04493398872654,-53.990123184525146,498.9060180512829,363
2021-03-19,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,134.99184281864422,144.64112536687327,-148.5047629004274,418.48844853771584,363
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,540.1290615444332,695.9270743689272,-823.888004218664,1904.1461273075304,42
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-188.49048754075326,128.01592645817786,-439.4017033987819,62.42072831727535,42
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-0.10492394814474437,375.29869097239197,-735.6903582540331,735.4805103577435,42
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-377.4855769991841,400.8507526150051,-1163.153052124594,408.18189812622586,42
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-669.7892552813707,508.2075394672045,-1665.8760326370916,326.2975220743501,42
2021-03-31,ust_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-1231.7525391535805,764.9828083153529,-2731.1188434516725,267.61376514451126,42
2021-03-31,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-73.53048419513107,1102.7508647586542,-2234.9221791220934,2087.8612107318313,42
2021-03-31,ust_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-629.1233811882503,342.7716393058106,-1300.955794227639,42.709031851138434,42
