event,window_td,strategy,spec,coef_post,se_post,N,N_dates
2020-04-01,20,ust_spot_fut,TOTAL,-6030.996423761431,3012.460361885995,15,15
2020-04-01,20,ust_spot_fut,DIRECT,50.08224757647697,23.344478227866553,15,15
2020-04-01,60,ust_spot_fut,TOTAL,-580.1658951113312,400.48650701210755,42,42
2020-04-01,60,ust_spot_fut,DIRECT,-1008.3896130655419,855.2742894074438,42,42
2021-03-19,20,ust_spot_fut,TOTAL,502.2610854909815,56.3091325950282,18,18
2021-03-19,20,ust_spot_fut,DIRECT,805.1019279314646,75.59231583255183,18,18
2021-03-19,60,ust_spot_fut,TOTAL,32.05791941186098,148.50037435679673,45,45
2021-03-19,60,ust_spot_fut,DIRECT,-89.61954831908668,246.51115707207327,45,45
2021-03-31,20,ust_spot_fut,TOTAL,651.8253986781974,160.23225570644496,12,12
2021-03-31,20,ust_spot_fut,DIRECT,657.5918169939005,156.46350433535093,12,12
2021-03-31,60,ust_spot_fut,TOTAL,375.4866623780843,292.8026641870887,42,42
2021-03-31,60,ust_spot_fut,DIRECT,426.47065245888365,307.8878720932762,42,42
