event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-290.0829475556649,200.24325350607592,42
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,-290.0829475556653,200.24325350607472,42
2020-04-01,DIRECT,"[-60,+60] trading days",post,-504.19480653284313,427.6371447037669,42
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,-504.19480653267885,427.6371447037529,42
2021-03-19,TOTAL,"[-60,+60] trading days",post,16.02895970589401,74.25018717860398,45
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,16.028959705970962,74.25018717848491,45
2021-03-19,DIRECT,"[-60,+60] trading days",post,-44.80977415950301,123.25557853613627,45
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,-44.80977415957737,123.25557853611558,45
2021-03-31,TOTAL,"[-60,+60] trading days",post,187.74333118902422,146.40133209350125,42
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,187.74333118906077,146.40133209336258,42
2021-03-31,DIRECT,"[-60,+60] trading days",post,213.23532622943705,153.94393604602536,42
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,213.23532622944566,153.94393604594242,42
